Implementation smell,Namespace,Class,File,Method,Description
Magic Number,MinimapTranslator,Program,D:\research\architectureSmells\repos\Marlamin_WoWFormatTest\MinimapTranslator\Program.cs,Main,The following statement contains a magic number: line.Substring(0' 4) == "dir:" || line.Substring(0' 3) == "WMO"
Magic Number,MinimapTranslator,Program,D:\research\architectureSmells\repos\Marlamin_WoWFormatTest\MinimapTranslator\Program.cs,Main,The following statement contains a magic number: line.Substring(0' 4) == "dir:" || line.Substring(0' 3) == "WMO"
