Implementation smell,Namespace,Class,File,Method,Description
Long Statement,AnimeRecs.UpdateStreams.UnitTests,AmazonPrimeStreamInfoSourceTests,D:\research\architectureSmells\repos\LHCGreg_animerecs\AnimeRecs.UpdateStreams.UnitTests\AmazonPrimeStreamInfoSourceTests.cs,GetMockWebClient,The length of the statement  "            resourceNamesOfMockPages["https://www.amazon.com/s/ref=sr_rot_p_n_ways_to_watch_1?rh=n:2858778011'p_n_theme_browse-bin:2650364011'p_n_ways_to_watch:12007865011&ie=UTF8"] = "amazon_prime_1.html"; " is 194.
Long Statement,AnimeRecs.UpdateStreams.UnitTests,AmazonPrimeStreamInfoSourceTests,D:\research\architectureSmells\repos\LHCGreg_animerecs\AnimeRecs.UpdateStreams.UnitTests\AmazonPrimeStreamInfoSourceTests.cs,GetMockWebClient,The length of the statement  "            resourceNamesOfMockPages["https://www.amazon.com/s/ref=sr_pg_2?rh=n:2858778011%2Cp_n_theme_browse-bin:2650364011%2Cp_n_ways_to_watch:12007865011&page=2&ie=UTF8&qid=1495396353"] = "amazon_prime_2.html"; " is 201.
Long Statement,AnimeRecs.UpdateStreams.UnitTests,AmazonPrimeStreamInfoSourceTests,D:\research\architectureSmells\repos\LHCGreg_animerecs\AnimeRecs.UpdateStreams.UnitTests\AmazonPrimeStreamInfoSourceTests.cs,GetMockWebClient,The length of the statement  "            resourceNamesOfMockPages["https://www.amazon.com/s/ref=sr_pg_6?rh=n:2858778011%2Cp_n_theme_browse-bin:2650364011%2Cp_n_ways_to_watch:12007865011&page=6&ie=UTF8&qid=1495396393"] = "amazon_prime_3.html"; " is 201.
Long Statement,AnimeRecs.UpdateStreams.UnitTests,AmazonPrimeStreamInfoSourceTests,D:\research\architectureSmells\repos\LHCGreg_animerecs\AnimeRecs.UpdateStreams.UnitTests\AmazonPrimeStreamInfoSourceTests.cs,GetMockWebClient,The length of the statement  "                resultMock.Setup(r => r.ReadResponseAsStringAsync(It.IsAny<CancellationToken>())).Returns(Task.FromResult(Helpers.GetResourceText(resourceNamesOfMockPages[urlCopy]))); " is 167.
Long Statement,AnimeRecs.UpdateStreams.UnitTests,AmazonPrimeStreamInfoSourceTests,D:\research\architectureSmells\repos\LHCGreg_animerecs\AnimeRecs.UpdateStreams.UnitTests\AmazonPrimeStreamInfoSourceTests.cs,GetMockWebClient,The length of the statement  "            webClientMock.Setup(client => client.GetAsync(It.IsAny<WebClientRequest>()' It.IsAny<CancellationToken>())).Returns<WebClientRequest' CancellationToken>((request' token) => Task.FromResult(mockResultsByURL[request.URL])); " is 221.
Long Statement,AnimeRecs.UpdateStreams.UnitTests,CrunchyrollHtmlStreamInfoSourceTests,D:\research\architectureSmells\repos\LHCGreg_animerecs\AnimeRecs.UpdateStreams.UnitTests\CrunchyrollHtmlStreamInfoSourceTests.cs,TestRegex,The length of the statement  "            Assert.Contains(new AnimeStreamInfo("Mobile Suit Zeta Gundam"' "http://www.crunchyroll.com/mobile-suit-zeta-gundam"' StreamingService.Crunchyroll)' streams); " is 157.
Long Statement,AnimeRecs.UpdateStreams.UnitTests,CrunchyrollHtmlStreamInfoSourceTests,D:\research\architectureSmells\repos\LHCGreg_animerecs\AnimeRecs.UpdateStreams.UnitTests\CrunchyrollHtmlStreamInfoSourceTests.cs,TestRegex,The length of the statement  "            Assert.Contains(new AnimeStreamInfo("NARUTO Spin-Off: Rock Lee & His Ninja Pals"' "http://www.crunchyroll.com/naruto-spin-off-rock-lee-his-ninja-pals"' StreamingService.Crunchyroll)' streams); " is 192.
Long Statement,AnimeRecs.UpdateStreams.UnitTests,FunimationStreamInfoSourceTests,D:\research\architectureSmells\repos\LHCGreg_animerecs\AnimeRecs.UpdateStreams.UnitTests\FunimationStreamInfoSourceTests.cs,TestHelperStreamInfoSource,The length of the statement  "            FunimationStreamInfoSource.HelperStreamInfoSource source = new FunimationStreamInfoSource.HelperStreamInfoSource(mockWebClient' "https://www.funimation.com/shows/all-shows/?sort=show&p=1"); " is 189.
Long Statement,AnimeRecs.UpdateStreams.UnitTests,FunimationStreamInfoSourceTests,D:\research\architectureSmells\repos\LHCGreg_animerecs\AnimeRecs.UpdateStreams.UnitTests\FunimationStreamInfoSourceTests.cs,TestHelperStreamInfoSourceOnEmpty,The length of the statement  "            FunimationStreamInfoSource.HelperStreamInfoSource source = new FunimationStreamInfoSource.HelperStreamInfoSource(mockWebClient' "https://www.funimation.com/shows/all-shows/?sort=show&p=5"); " is 189.
Long Statement,AnimeRecs.UpdateStreams.UnitTests,FunimationStreamInfoSourceTests,D:\research\architectureSmells\repos\LHCGreg_animerecs\AnimeRecs.UpdateStreams.UnitTests\FunimationStreamInfoSourceTests.cs,TestHelperStreamInfoSourceOnEmpty,The length of the statement  "            Assert.Throws<NoMatchingHtmlException>(() => source.GetAnimeStreamInfoAsync(CancellationToken.None).GetAwaiter().GetResult()); " is 126.
