Architecture smell,Project,Namespace,Cause,Responsible Classes
Cyclic Dependency,Revenj.Client.Portable,Revenj.DomainPatterns,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Revenj.DomainPatterns' Revenj,Revenj.DomainPatterns.DomainEventStoreHelper' Revenj.DomainPatterns.ClientTemplaterService' Revenj.DomainPatterns.GenericSpecification<T>' Revenj.ApplicationProxyHelper' Revenj.IDomainProxy' Revenj.HttpClient' Revenj.Client
Cyclic Dependency,Revenj.Client.Portable,Revenj.DomainPatterns,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Revenj.DomainPatterns' Revenj' Revenj.Storage' Revenj,Revenj.DomainPatterns.DomainEventStoreHelper' Revenj.DomainPatterns.ClientTemplaterService' Revenj.DomainPatterns.GenericSpecification<T>' Revenj.ApplicationProxyHelper' Revenj.IDomainProxy' Revenj.HttpClient' Revenj.Client' Revenj.Storage.S3RepositoryHelper' Revenj.Storage.LitS3Repository
Cyclic Dependency,Revenj.Client.Portable,Revenj.Storage,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Revenj.Storage' Revenj,Revenj.Storage.S3RepositoryHelper' Revenj.Storage.LitS3Repository' Revenj.ApplicationProxyHelper' Revenj.IDomainProxy' Revenj.HttpClient' Revenj.Client
Unstable Dependency,Revenj.Client.Portable,Revenj.DomainPatterns,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Revenj,Revenj.DomainPatterns.IReportingProxy' Revenj.DomainPatterns.Static
Unstable Dependency,Revenj.Client.Portable,Revenj.Storage,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Revenj,Revenj.Storage.Configuration
God Component,Revenj.Client.Portable,Revenj,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 34,Revenj.GetArgument' Revenj.HistoryArg' Revenj.PersistArg' Revenj.Static' Revenj.ServiceProviderHelper
Feature Concentration,Revenj.Client.Portable,Revenj.DomainPatterns,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IDomainEventStore' DomainEventStoreHelper]' [ISearchable' IIdentifiable' IAggregateRoot' IDomainEvent' IHistory' ISnapshot' History<TRoot>' Snapshot<TRoot>]' [IReport]' [ISearchableRepository' IRepository' IPersistableRepository' RepositoryHelper' ISpecification' ITemplaterService' ClientTemplaterService' GenericSpecification<T>' GenericSpecificationHelper' SearchBuilder<T>' SearchBuilderHelper' GenericSearchFilter]' [IChangeTracking' ChangeTrackingHelper]. LCC (Lack of Component Cohesion) = 0.2,Revenj.DomainPatterns.IReport
Scattered Functionality,Revenj.Client.Portable,Revenj,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: System.Threading.Tasks' NGS.Serialization,System.Threading.Tasks.Task' NGS.Serialization.ProtobufSerialization' System.Threading.Tasks.Factory
Scattered Functionality,Revenj.Client.Portable,Revenj,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: System.Threading.Tasks' Revenj.Storage,System.Threading.Tasks.Task' Revenj.Storage.IS3Repository
Scattered Functionality,Revenj.Client.Portable,Revenj.Storage,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: System.Threading.Tasks' LitS3,System.Threading.Tasks.Factory' LitS3.S3Service
