Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
MainClass,1,3,0,0,3,60,5,0,0,0,1,0
ProjectBuilder,7,12,0,0,7,171,28,0,1,0.74,7,1
MSBuildResult,6,1,6,0,1,67,1,0,0,1,0,2
LocalLogger,3,5,1,0,3,40,7,0,0,0.53,1,1
ILogWriter,0,1,0,0,0,4,1,1,0,0,0,2
LogWriter,1,3,0,0,3,17,3,0,1,0.33,0,0
MSBuildVerbosity,0,0,0,0,0,8,0,0,0,0,0,2
IProjectBuilder,0,4,0,0,0,7,4,1,0,0,3,2
ProjectConfigurationInfo,3,0,0,3,0,7,0,0,0,0,0,2
BuildEngine,10,11,1,0,5,118,12,0,1,0.82,2,2
IBuildEngine,0,3,0,0,0,6,3,1,0,0,1,0
MDConsoleLogger,24,41,6,0,18,706,186,0,0,0.93,2,2
BuildEvent,3,2,0,3,2,33,10,0,0,0,1,1
PerfInfo,2,0,0,2,0,5,0,0,0,0,0,1
