Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Gui,1,1,0,0,0,14,2,0,0,0,0,0
BinContainer,2,6,0,0,2,45,10,0,0,1,0,0
ActionGroups,0,2,0,0,2,11,2,0,0,0,0,0
CellRendererDiff,15,17,1,0,5,481,81,0,0,0.82,1,3
ILogView,0,0,0,0,0,3,0,1,0,0,0,0
LogView,4,11,2,0,8,133,17,0,1,0.7,8,2
StatusView,40,44,2,0,4,983,149,0,1,0.91,17,2
FileTreeView,2,6,1,1,0,84,18,0,0,0.92,1,4
DiffParser,3,2,0,0,1,77,12,0,0,0,0,0
IBlameView,0,0,0,0,0,3,0,1,0,0,0,0
BlameView,2,13,8,0,5,117,16,0,1,0.81,5,1
ComparisonWidget,2,9,4,0,7,217,17,0,1,0.89,3,3
BlameCommands,0,0,0,0,0,6,0,0,0,0,0,0
BlameWidget,8,16,5,0,2,684,38,0,0,0.72,5,2
DropDownBox,8,14,6,2,2,215,27,0,0,0.88,0,1
ChangeSetView,20,21,0,1,3,362,58,0,0,0.88,6,0
IMergeView,0,0,0,0,0,3,0,1,0,0,0,0
MergeView,2,5,1,0,5,45,5,0,1,0.8,2,1
MergeWidget,3,11,1,0,6,170,19,0,1,0.79,1,2
EditorCompareWidgetBase,23,37,5,0,9,877,89,2,0,0.93,2,0
IDiffView,0,0,0,0,0,3,0,1,0,0,0,0
DiffView,2,16,10,0,7,193,22,0,1,0.78,5,2
DiffWidget,7,7,3,0,3,110,9,0,0,0.65,3,1
SubviewAttachmentHandler,0,3,0,0,0,50,8,0,0,0,11,0
LogWidget,18,24,3,0,3,632,55,0,0,0.89,11,1
VersionControlDocumentInfo,3,4,6,0,3,75,8,0,0,0.83,4,16
CommitDialog,5,10,1,0,3,221,43,0,0,0.66,6,1
EditRepositoryDialog,3,6,1,0,1,76,13,0,0,0.5,4,1
SelectRepositoryMode,0,0,0,0,0,5,0,0,0,0,0,3
SelectRepositoryDialog,12,21,4,0,3,319,48,0,0,0.85,7,2
AddCommand,0,1,0,0,1,33,1,0,0,0,1,2
RemoveCommand,0,1,0,0,1,41,2,0,0,0,1,2
BaseView,1,7,11,0,0,117,7,5,0,0.86,0,0
ChangeSet,5,12,8,0,11,137,24,0,0,0.77,5,15
ChangeSetItem,1,3,5,0,2,47,3,0,0,0.33,1,5
CheckoutCommand,0,2,0,0,0,21,3,0,0,0,4,0
CheckoutWorker,2,4,0,0,1,47,10,0,1,0.38,2,1
Commands,0,0,0,0,0,22,0,0,0,0,0,1
SolutionVersionControlCommandHandler,0,4,0,0,0,40,8,2,0,0,3,0
FileVersionControlCommandHandler,0,5,0,0,0,42,7,10,0,0,4,0
UpdateCommandHandler,0,1,0,0,0,7,1,0,1,0,2,0
StatusCommandHandler,0,1,0,0,0,7,1,0,1,0,2,0
AddCommandHandler,0,2,0,0,0,12,2,0,1,0,2,0
RemoveCommandHandler,0,2,0,0,0,12,2,0,1,0,2,0
RevertCommandHandler,0,2,0,0,0,12,2,0,1,0,2,0
LockCommandHandler,0,2,0,0,0,12,2,0,1,0,2,0
UnlockCommandHandler,0,2,0,0,0,12,2,0,1,0,2,0
IgnoreCommandHandler,0,2,0,0,0,12,2,0,1,0,2,0
UnignoreCommandHandler,0,2,0,0,0,12,2,0,1,0,2,0
CurrentFileDiffHandler,0,1,0,0,0,8,1,0,1,0,0,0
CurrentFileBlameHandler,0,1,0,0,0,8,1,0,1,0,0,0
CurrentFileLogHandler,0,1,0,0,0,8,1,0,1,0,0,0
CommitCommand,0,1,0,0,1,83,5,0,0,0,4,1
CommitDialogExtension,1,4,1,0,4,72,4,2,0,1,1,2
CommitEventArgs,3,1,3,0,0,27,1,0,0,0,2,0
PublishCommand,0,3,0,0,2,59,11,0,0,0,5,1
PublishWorker,5,3,0,0,1,29,3,0,1,0.33,3,1
Repository,11,82,8,0,49,696,119,2,0,0.98,11,42
Annotation,0,3,6,0,3,46,3,0,0,0,1,8
DiffInfo,3,1,3,0,1,27,1,0,0,0,0,4
VersionInfoQueryFlags,0,0,0,0,0,7,0,0,0,0,0,7
RevertCommand,0,2,0,0,1,60,6,0,0,0,2,3
Revision,5,5,8,0,3,84,5,2,0,0.8,1,15
RevisionPath,3,1,3,0,1,37,1,0,0,0,1,5
RevisionAction,0,0,0,0,0,8,0,0,0,0,0,4
Task,2,10,2,0,2,71,12,2,0,0.65,2,8
UnknownRepository,1,21,1,0,2,85,23,0,1,1,5,0
UpdateCommand,0,1,0,0,1,35,1,0,0,0,1,2
UrlBasedRepository,2,7,6,0,2,86,8,2,1,0.57,2,1
UrlBasedRepositoryEditor,3,13,3,0,2,170,24,0,1,0.56,2,3
VersionControlConfiguration,2,0,1,1,0,12,0,0,0,0,1,1
VersionControlNodeExtension,1,14,1,0,6,212,47,0,0,0.79,5,0
AddinCommandHandler,0,33,0,0,1,266,88,0,1,0,20,0
OpenCommandHandler,0,1,0,0,0,12,3,0,1,0,0,0
TestResult,0,0,0,0,0,6,0,0,0,0,0,1
VersionControlService,21,39,5,0,21,682,125,0,0,0,16,27
CommitComment,2,0,0,2,0,6,0,0,0,0,0,1
InternalRepositoryReference,1,2,1,0,2,18,2,0,0,0,2,1
VersionControlOperationType,0,0,0,0,0,6,0,0,0,0,0,5
VersionControlSystem,0,5,3,0,4,93,5,2,0,0,2,5
VersionInfo,10,7,21,0,6,164,7,0,0,0.74,4,17
VersionStatus,0,0,0,0,0,21,0,0,0,0,0,13
FileUpdateEventArgs,0,3,0,0,3,14,3,0,0,0,1,6
FileUpdateEventInfo,3,1,3,0,1,27,1,0,0,0,1,2
VersionControlFileSystemExtension,0,12,0,0,11,100,17,0,0,0,4,0
RevertRevisionsCommands,0,3,0,0,2,84,6,0,0,0,2,1
LockCommand,0,1,0,0,1,33,1,0,0,0,1,2
UnlockCommand,0,1,0,0,1,33,1,0,0,0,1,2
ChangeLogWriter,3,4,2,0,3,114,20,0,0,0.5,1,2
VersionControlItem,5,1,5,0,1,52,1,0,0,0,2,15
VersionControlItemList,0,4,1,0,4,50,10,0,0,0,1,29
VersionControlCommandHandler,1,3,1,0,3,86,11,2,0,0.33,5,1
CommitMessageStylePanelWidget,3,16,0,0,2,134,18,0,0,0.56,2,1
CommitMessageStyle,0,3,9,0,3,77,3,0,0,0,0,6
CommitMessageFormat,0,1,6,0,1,33,1,0,0,0,0,7
VersionControlPolicy,0,2,1,0,2,19,2,0,0,0,1,2
VersionControlPolicyPanel,2,3,1,0,1,37,4,0,0,0.17,3,0
CreatePatchCommand,0,4,0,0,4,90,12,0,0,0,5,2
IRepositoryEditor,0,1,1,0,0,7,1,1,0,0,0,2
VersionControlOperation,0,0,0,0,0,14,0,0,0,0,0,4
IVersionControlViewHandler,0,2,0,0,0,5,2,4,0,0,2,1
IDiffViewHandler,0,0,0,0,0,3,0,1,1,0,0,1
IBlameViewHandler,0,0,0,0,0,3,0,1,1,0,0,1
ILogViewHandler,0,0,0,0,0,3,0,1,1,0,0,1
IMergeViewHandler,0,0,0,0,0,3,0,1,1,0,0,1
DefaultDiffViewHandler,0,2,0,0,2,11,2,0,2,0,3,0
DefaultBlameViewHandler,0,2,0,0,2,11,2,0,2,0,3,0
DefaultLogViewHandler,0,2,0,0,2,11,2,0,2,0,3,0
DefaultMergeViewHandler,0,2,0,0,2,11,2,0,2,0,3,0
LogCommand,1,2,0,0,1,30,5,0,0,0,5,2
DiffCommand,1,2,0,0,1,19,4,0,0,0,3,2
MergeCommand,1,2,0,0,1,19,4,0,0,0,3,1
BlameCommand,1,2,0,0,1,19,4,0,0,0,3,2
VersionInfoCache,3,7,0,0,7,103,9,0,0,0.52,5,1
DirectoryStatus,0,0,3,0,0,15,0,0,0,0,0,2
IgnoreCommand,0,2,0,0,1,51,3,0,0,0,2,2
UnignoreCommand,0,2,0,0,1,52,3,0,0,0,2,2
ResolveConflictsCommand,0,1,0,0,1,18,4,0,0,0,2,1
VersionControlGeneralOptionsPanel,1,2,0,0,2,21,2,0,0,0,1,0
VersionControlSolutionOptionsPanel,1,2,0,0,2,21,2,0,0,0,1,0
