Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Rule,11,11,10,4,9,310,44,1,0,0.85,9,3
Keywords,2,3,3,1,3,53,5,0,0,0.83,2,1
Match,4,4,5,1,4,77,7,1,0,0.83,2,2
CSharpNumberMatch,0,4,0,0,2,87,21,0,1,0,1,0
SpanBeginFlags,0,0,0,0,0,8,0,0,0,0,0,0
SpanExitFlags,0,0,0,0,0,6,0,0,0,0,0,0
SpanEndFlags,0,0,0,0,0,5,0,0,0,0,0,0
Span,4,6,15,2,5,167,13,0,0,0.83,2,3
SyntaxMode,4,22,3,1,16,647,43,1,1,0.89,15,9
ISyntaxModeProvider,0,1,0,0,0,4,1,2,0,0,1,1
ProtoTypeSyntaxModeProvider,1,4,0,0,2,58,13,0,1,0.5,3,0
SyntaxModeProvider,1,2,0,0,2,12,2,0,1,0,1,0
XmlReadHelper,0,5,0,0,4,71,18,0,0,0,0,8
Marker,1,3,2,1,3,26,3,0,0,1,1,2
Regex,1,4,1,0,3,59,11,0,0,0.5,1,6
JaySyntaxMode,0,2,0,0,2,185,4,0,2,0,5,0
CloneableStack,2,13,2,0,6,145,15,0,0,0.54,0,5
ISyntaxMode,0,1,1,0,0,29,1,1,0,0,2,5
SyntaxModeService,9,28,2,0,21,464,98,0,0,0,10,6
ChunkStyle,0,11,11,0,10,182,39,0,0,0,2,10
TextWeight,0,0,0,0,0,9,0,0,0,0,0,0
ColorDescriptionAttribute,0,2,3,0,2,23,2,0,0,0,0,1
ColorScheme,2,14,160,0,10,1188,83,0,0,0,6,17
IStreamProvider,0,1,0,0,0,4,1,2,0,0,0,1
ResourceXmlProvider,0,1,0,0,1,7,1,0,1,0,0,0
ResourceStreamProvider,2,2,2,0,2,24,2,1,1,0.25,0,2
UrlStreamProvider,1,2,1,0,2,17,2,0,1,0,0,1
AmbientColor,1,5,6,1,5,138,23,0,0,0.4,1,2
Chunk,2,2,6,0,2,49,2,0,0,1,1,7
TextEditorOptions,38,8,37,1,6,510,11,1,1,0.9,5,6
SelectionMode,0,0,0,0,0,5,0,0,0,0,0,12
TextEditorData,19,112,41,1,93,1342,239,0,0,0.97,30,49
SemanticRule,0,1,0,0,1,4,1,1,0,0,3,3
HighlightUrlSemanticRule,5,2,0,2,2,33,4,0,1,0.5,5,1
SearchResult,0,3,5,0,3,38,3,0,0,0,1,9
Caret,7,15,13,0,8,327,39,0,0,0.83,8,6
CaretMode,0,0,0,0,0,9,0,0,0,0,0,6
ISearchEngine,0,13,2,0,0,24,13,1,0,0,2,2
AbstractSearchEngine,2,14,2,0,13,66,15,2,1,0.86,5,0
BasicSearchEngine,1,8,0,0,8,128,28,0,2,0.5,4,0
RegexSearchEngine,1,8,0,0,8,116,26,0,2,0.25,3,0
BookmarkMarker,1,6,0,0,4,62,13,0,1,0,5,0
EditMode,3,21,5,0,6,224,41,3,0,0.83,11,4
SimpleEditMode,1,7,1,0,3,298,12,1,1,0.14,10,0
HelperMethods,0,23,0,0,18,109,26,0,0,0,2,0
LinkEventArgs,0,1,3,0,1,21,1,0,0,0,0,0
SearchRequest,4,2,4,0,1,66,3,0,0,1,1,4
TextLink,1,5,10,0,5,81,5,0,1,0.8,1,3
TextLinkMode,0,0,0,0,0,5,0,0,0,0,0,0
TextLinkEditMode,11,19,9,0,6,359,85,0,1,0.82,11,2
TextLinkTooltipProvider,1,4,0,0,2,36,5,0,1,0.5,5,1
TextLinkMarker,1,6,1,0,6,89,14,0,1,0.67,7,1
RegexMatch,1,1,2,1,1,17,1,0,0,0,0,1
Selection,4,20,8,1,18,154,23,0,0,0.83,5,7
Platform,0,3,3,0,0,44,5,0,0,0,0,41
IBracketMatcher,0,2,0,0,0,5,2,1,0,0,1,1
DefaultBracketMatcher,0,6,0,0,2,207,59,0,1,0,3,0
NewLineInsertion,0,0,0,0,0,6,0,0,0,0,0,2
InsertionPoint,0,4,3,0,4,55,12,0,0,0,4,3
HelpWindowEditMode,1,7,2,0,3,71,8,2,2,0.29,1,0
InsertionCursorEditMode,4,7,3,0,3,159,30,0,3,0.64,5,1
InsertionCursorEventArgs,0,1,2,0,1,17,1,0,0,0,1,2
TextMarkerEvent,0,1,1,0,1,11,1,0,1,0,2,2
HeightTree,4,25,2,0,11,576,37,0,0,0.73,4,2
AbstractAnnotatable,0,0,0,0,0,4,0,0,0,0,0,0
IndentStyle,0,0,0,0,0,20,0,0,0,0,0,9
IIndentationTracker,0,4,0,0,0,7,4,1,0,0,0,2
IndentationTrackerExtensionMethods,0,2,0,0,2,11,2,0,0,0,2,0
DefaultIndentationTracker,1,5,0,0,5,32,6,0,1,0.4,3,0
BookmarkActions,0,5,0,0,3,47,13,0,0,0,3,1
CaretMoveActions,0,22,0,0,19,317,98,0,0,0,8,8
ClipboardActions,0,9,0,0,6,366,16,0,0,0,8,4
ScrollActions,0,4,0,0,4,27,8,0,0,0,1,3
MiscActions,0,20,0,0,19,439,118,0,0,0,10,5
FoldActions,0,12,0,0,9,168,32,0,0,0,2,1
CodeSegmentEditorWindow,1,4,2,0,2,72,7,0,0,0.75,3,1
CodeSegmentPreviewWindow,8,7,5,0,4,121,12,0,0,0.64,3,2
