Implementation smell,Namespace,Class,File,Method,Description
Long Statement,CloseInactiveSessionsJob,Program,C:\repos\exceptionless_Exceptionless\src\Jobs\CloseInactiveSession\Program.cs,Main,The length of the statement  "            return new JobRunner(job' loggerFactory' initialDelay: TimeSpan.FromSeconds(30)' interval: TimeSpan.FromSeconds(30)).RunInConsole(); " is 132.
Magic Number,CloseInactiveSessionsJob,Program,C:\repos\exceptionless_Exceptionless\src\Jobs\CloseInactiveSession\Program.cs,Main,The following statement contains a magic number: return new JobRunner(job' loggerFactory' initialDelay: TimeSpan.FromSeconds(30)' interval: TimeSpan.FromSeconds(30)).RunInConsole();
Magic Number,CloseInactiveSessionsJob,Program,C:\repos\exceptionless_Exceptionless\src\Jobs\CloseInactiveSession\Program.cs,Main,The following statement contains a magic number: return new JobRunner(job' loggerFactory' initialDelay: TimeSpan.FromSeconds(30)' interval: TimeSpan.FromSeconds(30)).RunInConsole();
