Implementation smell,Namespace,Class,File,Method,Description
Long Identifier,Sitecore.Ship.Infrastructure.Configuration,PackageInstallationConfiguration,D:\research\architectureSmells\repos\kevinobee_Sitecore.Ship\src\Sitecore.Ship.Infrastructure\Configuration\PackageInstallationConfiguration.cs,,The length of the parameter MuteAuthorisationFailureLoggingKey is 34.
Long Statement,Sitecore.Ship.Infrastructure,PublishService,D:\research\architectureSmells\repos\kevinobee_Sitecore.Ship\src\Sitecore.Ship.Infrastructure\PublishService.cs,Run,The length of the statement  "						Publishing.PublishManager.PublishItem(item' itemsToPublish.TargetDatabases.Select(Sitecore.Configuration.Factory.GetDatabase).ToArray()' languages' true' true); " is 160.
Long Statement,Sitecore.Ship.Infrastructure.Update,UpdatePackageRunner,D:\research\architectureSmells\repos\kevinobee_Sitecore.Ship\src\Sitecore.Ship.Infrastructure\Update\UpdatePackageRunner.cs,Execute,The length of the statement  "                            diffInstaller.ExecutePostInstallationInstructions(packagePath' historyPath' installationInfo.Mode' metadata' logger' ref entries); " is 130.
Magic Number,Sitecore.Ship.Infrastructure.IO,TempPackager,D:\research\architectureSmells\repos\kevinobee_Sitecore.Ship\src\Sitecore.Ship.Infrastructure\IO\TempPackager.cs,ReadPosIntoFile,The following statement contains a magic number: var buffer = new byte[1024];
