Implementation smell,Namespace,Class,File,Method,Description
Long Statement,DotLiquid.Website,ExtensionMethods,C:\repos\dotliquid_dotliquid\src\DotLiquid.Website\Extensions\ExtensionMethods.cs,IsCurrentAction,The length of the statement  "            if (currentControllerName.Equals(controllerName' StringComparison.CurrentCultureIgnoreCase) && (actionName == null || currentActionName.Equals(actionName' StringComparison.CurrentCultureIgnoreCase))) " is 199.
Long Statement,DotLiquid.Website.ViewComponents,ContributorsViewComponent,C:\repos\dotliquid_dotliquid\src\DotLiquid.Website\ViewComponents\ContributorsViewComponent.cs,GetContributorsAsync,The length of the statement  "            var contributors = JsonConvert.DeserializeObject<List<Contributor>>(await _httpClient.GetStringAsync("https://api.github.com/repos/dotliquid/dotliquid/contributors")); " is 167.
Long Statement,DotLiquid.Website.ViewComponents,ContributorsViewComponent,C:\repos\dotliquid_dotliquid\src\DotLiquid.Website\ViewComponents\ContributorsViewComponent.cs,GetContributorsAsync,The length of the statement  "                .Select(c => JsonConvert.DeserializeObject<Contributor>(_httpClient.GetStringAsync($"https://api.github.com/users/{c.Login}").Result)); " is 135.
Magic Number,DotLiquid.Website.ViewComponents,ContributorsViewComponent,C:\repos\dotliquid_dotliquid\src\DotLiquid.Website\ViewComponents\ContributorsViewComponent.cs,GetContributorsAsync,The following statement contains a magic number: return contributors                  .Where(c => c.Login != "tgjones")                  .OrderByDescending(c => c.Contributions)                  .Take(4)                  .Select(c => JsonConvert.DeserializeObject<Contributor>(_httpClient.GetStringAsync($"https://api.github.com/users/{c.Login}").Result));
