Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Mantle.Storage.Azure,AzureBlobStorageClient,D:\research\architectureSmells\repos\caseywatson_Mantle\v0\Mantle\Mantle.Storage.Azure\AzureBlobStorageClient.cs,Validate,Cyclomatic complexity of the method is 10
Magic Number,Mantle.Storage.Azure,AzureBlobStorageClient,D:\research\architectureSmells\repos\caseywatson_Mantle\v0\Mantle\Mantle.Storage.Azure\AzureBlobStorageClient.cs,Validate,The following statement contains a magic number: (ContainerName.Length < 3) || (ContainerName.Length > 63)
Magic Number,Mantle.Storage.Azure,AzureBlobStorageClient,D:\research\architectureSmells\repos\caseywatson_Mantle\v0\Mantle\Mantle.Storage.Azure\AzureBlobStorageClient.cs,Validate,The following statement contains a magic number: (ContainerName.Length < 3) || (ContainerName.Length > 63)
