Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Mantle.Storage.Aws,AwsS3StorageClient,D:\research\architectureSmells\repos\caseywatson_Mantle\v0\Mantle\Mantle.Storage.Aws\AwsS3StorageClient.cs,Validate,Cyclomatic complexity of the method is 10
Magic Number,Mantle.Storage.Aws,AwsS3StorageClient,D:\research\architectureSmells\repos\caseywatson_Mantle\v0\Mantle\Mantle.Storage.Aws\AwsS3StorageClient.cs,Validate,The following statement contains a magic number: (BucketName.Length < 3) || (BucketName.Length > 63)
Magic Number,Mantle.Storage.Aws,AwsS3StorageClient,D:\research\architectureSmells\repos\caseywatson_Mantle\v0\Mantle\Mantle.Storage.Aws\AwsS3StorageClient.cs,Validate,The following statement contains a magic number: (BucketName.Length < 3) || (BucketName.Length > 63)
