Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Mantle.Storage.Dictionary.InMemory,InMemoryDictionaryStorageClient,D:\newReposJune17\caseywatson_Mantle\v0\Mantle\Mantle.Storage.Dictionary.InMemory\InMemoryDictionaryStorageClient.cs,Insert,The length of the statement  "			throw new InvalidOperationException (String.Format ("Unable to insert entity. Entity [{0}/{1}] already exists."' entity.DictionaryId' entity.EntityId)); " is 152.
Long Statement,Mantle.Storage.Dictionary.InMemory,InMemoryDictionaryStorageClient,D:\newReposJune17\caseywatson_Mantle\v0\Mantle\Mantle.Storage.Dictionary.InMemory\InMemoryDictionaryStorageClient.cs,Insert,The length of the statement  "			throw new InvalidOperationException (String.Format ("Unable to insert entity. Entity [{0}/{1}] already exists."' dictionaryId' entityId)); " is 138.
Long Statement,Mantle.Storage.Dictionary.InMemory,InMemoryDictionaryStorageClient,D:\newReposJune17\caseywatson_Mantle\v0\Mantle\Mantle.Storage.Dictionary.InMemory\InMemoryDictionaryStorageClient.cs,Delete,The length of the statement  "			throw new InvalidOperationException (String.Format ("Unable to delete entity. Entity [{0}/{1}] was not found."' entity.DictionaryId' entity.EntityId)); " is 151.
Long Statement,Mantle.Storage.Dictionary.InMemory,InMemoryDictionaryStorageClient,D:\newReposJune17\caseywatson_Mantle\v0\Mantle\Mantle.Storage.Dictionary.InMemory\InMemoryDictionaryStorageClient.cs,Delete,The length of the statement  "			throw new InvalidOperationException (String.Format ("Unable to delete entity. Entity [{0}/{1}] was not found."' dictionaryId' entityId)); " is 137.
