Architecture smell,Project,Namespace,Cause
Cyclic Dependency,MimeKit.Net35,MimeKit.Cryptography,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: MimeKit.Cryptography' MimeKit
Cyclic Dependency,MimeKit.Net35,MimeKit.Cryptography,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: MimeKit.Cryptography' MimeKit' MimeKit.Utils
Cyclic Dependency,MimeKit.Net35,MimeKit.Tnef,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: MimeKit.Tnef' MimeKit
Cyclic Dependency,MimeKit.Net35,MimeKit.Utils,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: MimeKit.Utils' MimeKit
Unstable Dependency,MimeKit.Net35,MimeKit.Encodings,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): MimeKit
Unstable Dependency,MimeKit.Net35,MimeKit.IO,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): MimeKit.IO.Filters
Unstable Dependency,MimeKit.Net35,MimeKit.Utils,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): MimeKit' MimeKit.Encodings
Unstable Dependency,MimeKit.Net35,MimeKit,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): MimeKit.IO.Filters' MimeKit.Cryptography' MimeKit.Tnef
God Component,MimeKit.Net35,MimeKit.Cryptography,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 48
God Component,MimeKit.Net35,MimeKit,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 46
Feature Concentration,MimeKit.Net35,MimeKit.IO,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BoundStream]' [ChainedStream]' [FilteredStream' ICancellableStream]' [MeasuringStream]' [MemoryBlockStream]. LCC (Lack of Component Cohesion) = 0.83
Feature Concentration,MimeKit.Net35,MimeKit.Utils,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CharType' ByteExtensions]' [CharsetUtils' ParseUtils' Rfc2047' DateTokenFlags' DateToken' DateUtils' MimeUtils]' [Crc32]' [PackedByteArray]' [StringBuilderExtensions]. LCC (Lack of Component Cohesion) = 0.42
Scattered Functionality,MimeKit.Net35,MimeKit.IO,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: System.Threading' MimeKit.IO.Filters
Scattered Functionality,MimeKit.Net35,MimeKit,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: MimeKit.IO.Filters' MimeKit.IO
Scattered Functionality,MimeKit.Net35,MimeKit,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: MimeKit.IO' System.Threading
Scattered Functionality,MimeKit.Net35,MimeKit,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: MimeKit.IO' System.Threading' MimeKit.IO.Filters
