Implementation smell,Namespace,Class,File,Method,Description
Magic Number,MandelbrotProgress,MandelbrotProgressPage,C:\repos\xamarin_xamarin-forms-book-preview-2\Chapter20\MandelbrotProgress\MandelbrotProgress\MandelbrotProgress\MandelbrotProgressPage.xaml.cs,CalculateMandelbrotAsync,The following statement contains a magic number: return Task.Run<BmpMaker>(() =>              {                  BmpMaker bmpMaker = new BmpMaker(pixelWidth' pixelHeight);                    for (int row = 0; row < pixelHeight; row++)                  {                      double y = center.Imaginary - size.Height / 2 + row * size.Height / pixelHeight;                        // Report the progress.                      progress.Report((double)row / pixelHeight);                        for (int col = 0; col < pixelWidth; col++)                      {                          double x = center.Real - size.Width / 2 + col * size.Width / pixelWidth;                          Complex c = new Complex(x' y);                          Complex z = 0;                          int iteration = 0;                          bool isMandelbrotSet = false;                            if ((c - new Complex(-1' 0)).MagnitudeSquared < 1.0 / 16)                          {                              isMandelbrotSet = true;                          }                          else                          {                              do                              {                                  z = z * z + c;                                  iteration++;                              }                              while (iteration < iterations && z.MagnitudeSquared < 4);                                isMandelbrotSet = iteration == iterations;                          }                          bmpMaker.SetPixel(row' col' isMandelbrotSet ? Color.Black : Color.White);                      }                  }                  return bmpMaker;              });
Magic Number,MandelbrotProgress,MandelbrotProgressPage,C:\repos\xamarin_xamarin-forms-book-preview-2\Chapter20\MandelbrotProgress\MandelbrotProgress\MandelbrotProgress\MandelbrotProgressPage.xaml.cs,CalculateMandelbrotAsync,The following statement contains a magic number: return Task.Run<BmpMaker>(() =>              {                  BmpMaker bmpMaker = new BmpMaker(pixelWidth' pixelHeight);                    for (int row = 0; row < pixelHeight; row++)                  {                      double y = center.Imaginary - size.Height / 2 + row * size.Height / pixelHeight;                        // Report the progress.                      progress.Report((double)row / pixelHeight);                        for (int col = 0; col < pixelWidth; col++)                      {                          double x = center.Real - size.Width / 2 + col * size.Width / pixelWidth;                          Complex c = new Complex(x' y);                          Complex z = 0;                          int iteration = 0;                          bool isMandelbrotSet = false;                            if ((c - new Complex(-1' 0)).MagnitudeSquared < 1.0 / 16)                          {                              isMandelbrotSet = true;                          }                          else                          {                              do                              {                                  z = z * z + c;                                  iteration++;                              }                              while (iteration < iterations && z.MagnitudeSquared < 4);                                isMandelbrotSet = iteration == iterations;                          }                          bmpMaker.SetPixel(row' col' isMandelbrotSet ? Color.Black : Color.White);                      }                  }                  return bmpMaker;              });
Magic Number,MandelbrotProgress,MandelbrotProgressPage,C:\repos\xamarin_xamarin-forms-book-preview-2\Chapter20\MandelbrotProgress\MandelbrotProgress\MandelbrotProgress\MandelbrotProgressPage.xaml.cs,CalculateMandelbrotAsync,The following statement contains a magic number: return Task.Run<BmpMaker>(() =>              {                  BmpMaker bmpMaker = new BmpMaker(pixelWidth' pixelHeight);                    for (int row = 0; row < pixelHeight; row++)                  {                      double y = center.Imaginary - size.Height / 2 + row * size.Height / pixelHeight;                        // Report the progress.                      progress.Report((double)row / pixelHeight);                        for (int col = 0; col < pixelWidth; col++)                      {                          double x = center.Real - size.Width / 2 + col * size.Width / pixelWidth;                          Complex c = new Complex(x' y);                          Complex z = 0;                          int iteration = 0;                          bool isMandelbrotSet = false;                            if ((c - new Complex(-1' 0)).MagnitudeSquared < 1.0 / 16)                          {                              isMandelbrotSet = true;                          }                          else                          {                              do                              {                                  z = z * z + c;                                  iteration++;                              }                              while (iteration < iterations && z.MagnitudeSquared < 4);                                isMandelbrotSet = iteration == iterations;                          }                          bmpMaker.SetPixel(row' col' isMandelbrotSet ? Color.Black : Color.White);                      }                  }                  return bmpMaker;              });
Magic Number,MandelbrotProgress,MandelbrotProgressPage,C:\repos\xamarin_xamarin-forms-book-preview-2\Chapter20\MandelbrotProgress\MandelbrotProgress\MandelbrotProgress\MandelbrotProgressPage.xaml.cs,CalculateMandelbrotAsync,The following statement contains a magic number: return Task.Run<BmpMaker>(() =>              {                  BmpMaker bmpMaker = new BmpMaker(pixelWidth' pixelHeight);                    for (int row = 0; row < pixelHeight; row++)                  {                      double y = center.Imaginary - size.Height / 2 + row * size.Height / pixelHeight;                        // Report the progress.                      progress.Report((double)row / pixelHeight);                        for (int col = 0; col < pixelWidth; col++)                      {                          double x = center.Real - size.Width / 2 + col * size.Width / pixelWidth;                          Complex c = new Complex(x' y);                          Complex z = 0;                          int iteration = 0;                          bool isMandelbrotSet = false;                            if ((c - new Complex(-1' 0)).MagnitudeSquared < 1.0 / 16)                          {                              isMandelbrotSet = true;                          }                          else                          {                              do                              {                                  z = z * z + c;                                  iteration++;                              }                              while (iteration < iterations && z.MagnitudeSquared < 4);                                isMandelbrotSet = iteration == iterations;                          }                          bmpMaker.SetPixel(row' col' isMandelbrotSet ? Color.Black : Color.White);                      }                  }                  return bmpMaker;              });
