Implementation smell,Namespace,Class,File,Method,Description
Magic Number,SimplestKeypad,SimplestKeypadPage,C:\repos\xamarin_xamarin-forms-book-preview-2\Chapter06\SimplestKeypad\SimplestKeypad\SimplestKeypad\SimplestKeypadPage.cs,SimplestKeypadPage,The following statement contains a magic number: for (int num = 1; num <= 10; num++)              {                  if ((num - 1) % 3 == 0)                  {                      rowStack = new StackLayout                      {                          Orientation = StackOrientation.Horizontal                      };                      mainStack.Children.Add(rowStack);                  }                    Button digitButton = new Button                  {                      Text = (num % 10).ToString()'                      FontSize = Device.GetNamedSize(NamedSize.Large' typeof(Button))'                      StyleId = (num % 10).ToString()                  };                  digitButton.Clicked += OnDigitButtonClicked;                    // For the zero button' expand to fill horizontally.                  if (num == 10)                  {                      digitButton.HorizontalOptions = LayoutOptions.FillAndExpand;                  }                  rowStack.Children.Add(digitButton);              }
Magic Number,SimplestKeypad,SimplestKeypadPage,C:\repos\xamarin_xamarin-forms-book-preview-2\Chapter06\SimplestKeypad\SimplestKeypad\SimplestKeypad\SimplestKeypadPage.cs,SimplestKeypadPage,The following statement contains a magic number: for (int num = 1; num <= 10; num++)              {                  if ((num - 1) % 3 == 0)                  {                      rowStack = new StackLayout                      {                          Orientation = StackOrientation.Horizontal                      };                      mainStack.Children.Add(rowStack);                  }                    Button digitButton = new Button                  {                      Text = (num % 10).ToString()'                      FontSize = Device.GetNamedSize(NamedSize.Large' typeof(Button))'                      StyleId = (num % 10).ToString()                  };                  digitButton.Clicked += OnDigitButtonClicked;                    // For the zero button' expand to fill horizontally.                  if (num == 10)                  {                      digitButton.HorizontalOptions = LayoutOptions.FillAndExpand;                  }                  rowStack.Children.Add(digitButton);              }
Magic Number,SimplestKeypad,SimplestKeypadPage,C:\repos\xamarin_xamarin-forms-book-preview-2\Chapter06\SimplestKeypad\SimplestKeypad\SimplestKeypad\SimplestKeypadPage.cs,SimplestKeypadPage,The following statement contains a magic number: for (int num = 1; num <= 10; num++)              {                  if ((num - 1) % 3 == 0)                  {                      rowStack = new StackLayout                      {                          Orientation = StackOrientation.Horizontal                      };                      mainStack.Children.Add(rowStack);                  }                    Button digitButton = new Button                  {                      Text = (num % 10).ToString()'                      FontSize = Device.GetNamedSize(NamedSize.Large' typeof(Button))'                      StyleId = (num % 10).ToString()                  };                  digitButton.Clicked += OnDigitButtonClicked;                    // For the zero button' expand to fill horizontally.                  if (num == 10)                  {                      digitButton.HorizontalOptions = LayoutOptions.FillAndExpand;                  }                  rowStack.Children.Add(digitButton);              }
Magic Number,SimplestKeypad,SimplestKeypadPage,C:\repos\xamarin_xamarin-forms-book-preview-2\Chapter06\SimplestKeypad\SimplestKeypad\SimplestKeypad\SimplestKeypadPage.cs,SimplestKeypadPage,The following statement contains a magic number: for (int num = 1; num <= 10; num++)              {                  if ((num - 1) % 3 == 0)                  {                      rowStack = new StackLayout                      {                          Orientation = StackOrientation.Horizontal                      };                      mainStack.Children.Add(rowStack);                  }                    Button digitButton = new Button                  {                      Text = (num % 10).ToString()'                      FontSize = Device.GetNamedSize(NamedSize.Large' typeof(Button))'                      StyleId = (num % 10).ToString()                  };                  digitButton.Clicked += OnDigitButtonClicked;                    // For the zero button' expand to fill horizontally.                  if (num == 10)                  {                      digitButton.HorizontalOptions = LayoutOptions.FillAndExpand;                  }                  rowStack.Children.Add(digitButton);              }
Magic Number,SimplestKeypad,SimplestKeypadPage,C:\repos\xamarin_xamarin-forms-book-preview-2\Chapter06\SimplestKeypad\SimplestKeypad\SimplestKeypad\SimplestKeypadPage.cs,SimplestKeypadPage,The following statement contains a magic number: for (int num = 1; num <= 10; num++)              {                  if ((num - 1) % 3 == 0)                  {                      rowStack = new StackLayout                      {                          Orientation = StackOrientation.Horizontal                      };                      mainStack.Children.Add(rowStack);                  }                    Button digitButton = new Button                  {                      Text = (num % 10).ToString()'                      FontSize = Device.GetNamedSize(NamedSize.Large' typeof(Button))'                      StyleId = (num % 10).ToString()                  };                  digitButton.Clicked += OnDigitButtonClicked;                    // For the zero button' expand to fill horizontally.                  if (num == 10)                  {                      digitButton.HorizontalOptions = LayoutOptions.FillAndExpand;                  }                  rowStack.Children.Add(digitButton);              }
