Implementation smell,Namespace,Class,File,Method,Description
Magic Number,MandelbrotSet,MandelbrotSetPage,C:\repos\xamarin_xamarin-forms-book-preview-2\Chapter20\MandelbrotSet\MandelbrotSet\MandelbrotSet\MandelbrotSetPage.xaml.cs,CalculateMandelbrotAsync,The following statement contains a magic number: return Task.Run(() =>              {                  for (int row = 0; row < pixelHeight; row++)                  {                      double y = center.Imaginary - size.Height / 2 + row * size.Height / pixelHeight;                        for (int col = 0; col < pixelWidth; col++)                      {                          double x = center.Real - size.Width / 2 + col * size.Width / pixelWidth;                          Complex c = new Complex(x' y);                          Complex z = 0;                          int iteration = 0;                            do                          {                              z = z * z + c;                              iteration++;                          }                          while (iteration < iterations && z.MagnitudeSquared < 4);                            bool isMandelbrotSet = iteration == iterations;                          bmpMaker.SetPixel(row' col' isMandelbrotSet ? Color.Black : Color.White);                      }                  }              });
Magic Number,MandelbrotSet,MandelbrotSetPage,C:\repos\xamarin_xamarin-forms-book-preview-2\Chapter20\MandelbrotSet\MandelbrotSet\MandelbrotSet\MandelbrotSetPage.xaml.cs,CalculateMandelbrotAsync,The following statement contains a magic number: return Task.Run(() =>              {                  for (int row = 0; row < pixelHeight; row++)                  {                      double y = center.Imaginary - size.Height / 2 + row * size.Height / pixelHeight;                        for (int col = 0; col < pixelWidth; col++)                      {                          double x = center.Real - size.Width / 2 + col * size.Width / pixelWidth;                          Complex c = new Complex(x' y);                          Complex z = 0;                          int iteration = 0;                            do                          {                              z = z * z + c;                              iteration++;                          }                          while (iteration < iterations && z.MagnitudeSquared < 4);                            bool isMandelbrotSet = iteration == iterations;                          bmpMaker.SetPixel(row' col' isMandelbrotSet ? Color.Black : Color.White);                      }                  }              });
Magic Number,MandelbrotSet,MandelbrotSetPage,C:\repos\xamarin_xamarin-forms-book-preview-2\Chapter20\MandelbrotSet\MandelbrotSet\MandelbrotSet\MandelbrotSetPage.xaml.cs,CalculateMandelbrotAsync,The following statement contains a magic number: return Task.Run(() =>              {                  for (int row = 0; row < pixelHeight; row++)                  {                      double y = center.Imaginary - size.Height / 2 + row * size.Height / pixelHeight;                        for (int col = 0; col < pixelWidth; col++)                      {                          double x = center.Real - size.Width / 2 + col * size.Width / pixelWidth;                          Complex c = new Complex(x' y);                          Complex z = 0;                          int iteration = 0;                            do                          {                              z = z * z + c;                              iteration++;                          }                          while (iteration < iterations && z.MagnitudeSquared < 4);                            bool isMandelbrotSet = iteration == iterations;                          bmpMaker.SetPixel(row' col' isMandelbrotSet ? Color.Black : Color.White);                      }                  }              });
