Implementation smell,Namespace,Class,File,Method,Description
Magic Number,StackManipulation,PageD,C:\repos\xamarin_xamarin-forms-book-preview-2\Chapter24\StackManipulation\StackManipulation\StackManipulation\PageD.cs,PageD,The following statement contains a magic number: swapButton.Clicked += (sender' args) =>              {                  IReadOnlyList<Page> navStack = Navigation.NavigationStack;                  Page pageC = navStack[navStack.Count - 2];                  Page existingPageB = navStack[navStack.Count - 3];                  bool isOriginal = existingPageB is PageB;                  Page newPageB = isOriginal ? (Page)new PageBAlternative() : new PageB();                    // Swap the pages.                  Navigation.RemovePage(existingPageB);                  Navigation.InsertPageBefore(newPageB' pageC);                    // Finished: Disable the Button.                  swapButton.IsEnabled = false;              };
Magic Number,StackManipulation,PageD,C:\repos\xamarin_xamarin-forms-book-preview-2\Chapter24\StackManipulation\StackManipulation\StackManipulation\PageD.cs,PageD,The following statement contains a magic number: swapButton.Clicked += (sender' args) =>              {                  IReadOnlyList<Page> navStack = Navigation.NavigationStack;                  Page pageC = navStack[navStack.Count - 2];                  Page existingPageB = navStack[navStack.Count - 3];                  bool isOriginal = existingPageB is PageB;                  Page newPageB = isOriginal ? (Page)new PageBAlternative() : new PageB();                    // Swap the pages.                  Navigation.RemovePage(existingPageB);                  Navigation.InsertPageBefore(newPageB' pageC);                    // Finished: Disable the Button.                  swapButton.IsEnabled = false;              };
