Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Entity,Common,C:\repos\oraculum_CEF\Models\Common.cs,getCon,The length of the statement  "	caminhobd = @"Data Source=" + arqlinha [0].ToString () + ";Initial Catalog=CEF;User ID=" + arqlinha [1].ToString () + ";Password=" + arqlinha [2].ToString (); " is 158.
Magic Number,Entity,Common,C:\repos\oraculum_CEF\Models\Common.cs,getCon,The following statement contains a magic number: caminhobd = @"Data Source=" + arqlinha [0].ToString () + ";Initial Catalog=CEF;User ID=" + arqlinha [1].ToString () + ";Password=" + arqlinha [2].ToString ();  
