Implementation smell,Namespace,Class,File,Method,Description
Long Statement,LigaBase,Form1,C:\repos\oraculum_CEF\LigaBase\Form1.cs,btnLigar_Click,The length of the statement  "		cmd.CommandText = "CREATE DATABASE CEF ON " + "PRIMARY ( FILENAME =  '" + Regex.Escape (txtCaminho.Text) + "\\CEF.mdf' )' " + "FILEGROUP CEF_Log ( FILENAME = '" + Regex.Escape (txtCaminho.Text) + "\\CEF_log.ldf') " + "FOR ATTACH"; " is 230.
Long Statement,LigaBase,Form1,C:\repos\oraculum_CEF\LigaBase\Form1.cs,getCon,The length of the statement  "	caminhobd = @"Server=" + arqlinha [0].ToString () + ";User ID=" + arqlinha [1].ToString () + ";Password=" + arqlinha [2].ToString (); " is 133.
Magic Number,LigaBase,Form1,C:\repos\oraculum_CEF\LigaBase\Form1.cs,getCon,The following statement contains a magic number: caminhobd = @"Server=" + arqlinha [0].ToString () + ";User ID=" + arqlinha [1].ToString () + ";Password=" + arqlinha [2].ToString ();  
