Implementation smell,Namespace,Class,File,Method,Description
Magic Number,System.Data.HashFunction,ModifiedBernsteinHash,C:\repos\brandondahler_Data.HashFunction\src\BernsteinHash\ModifiedBernsteinHash.cs,ProcessBytes,The following statement contains a magic number: for (var x = position; x < position + length; ++x)                  h = (33 * h) ^ dataBytes[x];
Magic Number,System.Data.HashFunction,BernsteinHash,C:\repos\brandondahler_Data.HashFunction\src\BernsteinHash\BernsteinHash.cs,ProcessBytes,The following statement contains a magic number: for (var x = position; x < position + length; ++x)                  h = (33 * h) + dataBytes[x];
