Implementation smell,Namespace,Class,File,Method,Description
Long Statement,MVCForum.IOC.Quartz,UnityJobFactory,F:\newReposMay17\leen3o_mvcforum\MVCForum.IOC\Quartz\UnityJobFactory.cs,NewJob,The length of the statement  "		return typeof(IInterruptableJob).IsAssignableFrom (jobType) ? new InterruptableJobWrapper (bundle' _container) : new JobWrapper (bundle' _container); " is 149.
Long Statement,MVCForum.IOC.Quartz,UnityJobFactory,F:\newReposMay17\leen3o_mvcforum\MVCForum.IOC\Quartz\UnityJobFactory.cs,NewJob,The length of the statement  "		throw new SchedulerException (string.Format (CultureInfo.InvariantCulture' "Problem instantiating class '{0}'"' new object[] { " is 126.
