Method,LOC,CC,PC
Markdown:DoBlockQuotes,3,1,1
Markdown:BlockQuoteEvaluator,16,1,1
Markdown:BlockQuoteEvaluator2,3,1,1
Markdown:handleTrailingParens,39,7,1
Markdown:DoAutoLinks,23,3,1
Markdown:HyperlinkEvaluator,4,1,1
Markdown:EmailEvaluator,24,1,1
Markdown:Outdent,3,1,1
Markdown:EncodeEmailAddress,18,4,1
Markdown:EncodeCode,3,1,1
Markdown:EncodeCodeEvaluator,16,4,1
Markdown:EncodeAmpsAndAngles,5,1,1
Markdown:EscapeBackslashes,3,1,1
Markdown:EscapeBackslashesEvaluator,3,1,1
Markdown:Unescape,3,1,1
Markdown:UnescapeEvaluator,3,1,1
Markdown:EscapeBoldItalic,5,1,1
Markdown:AttributeEncode,3,1,1
Markdown:EncodeProblemUrlChars,18,4,1
Markdown:EscapeSpecialCharsWithinTagAttributes,18,4,1
Markdown:Normalize,42,27,1
Markdown:RepeatString,6,3,2
