Implementation smell,Namespace,Class,File,Method,Description
Magic Number,LoginRecipe,LoginPage,C:\repos\andreasjacobsen93_XamarinThirdpartySamples\xamarin-recipes-master\LoginRecipe\LoginRecipe\LoginPage.cs,LoginPage,The following statement contains a magic number: Content = new StackLayout {  	Padding = new Thickness (10' 40' 10' 10)'  	Children =  {  		new Label {  			Text = "Login"'  			Font = Font.SystemFontOfSize (NamedSize.Large)  		}'  		new Label {  			Text = "Username"  		}'  		username'  		new Label {  			Text = "Password"  		}'  		password'  		button  	}  };  
Magic Number,LoginRecipe,LoginPage,C:\repos\andreasjacobsen93_XamarinThirdpartySamples\xamarin-recipes-master\LoginRecipe\LoginRecipe\LoginPage.cs,LoginPage,The following statement contains a magic number: Content = new StackLayout {  	Padding = new Thickness (10' 40' 10' 10)'  	Children =  {  		new Label {  			Text = "Login"'  			Font = Font.SystemFontOfSize (NamedSize.Large)  		}'  		new Label {  			Text = "Username"  		}'  		username'  		new Label {  			Text = "Password"  		}'  		password'  		button  	}  };  
Magic Number,LoginRecipe,LoginPage,C:\repos\andreasjacobsen93_XamarinThirdpartySamples\xamarin-recipes-master\LoginRecipe\LoginRecipe\LoginPage.cs,LoginPage,The following statement contains a magic number: Content = new StackLayout {  	Padding = new Thickness (10' 40' 10' 10)'  	Children =  {  		new Label {  			Text = "Login"'  			Font = Font.SystemFontOfSize (NamedSize.Large)  		}'  		new Label {  			Text = "Username"  		}'  		username'  		new Label {  			Text = "Password"  		}'  		password'  		button  	}  };  
Magic Number,LoginRecipe,LoginPage,C:\repos\andreasjacobsen93_XamarinThirdpartySamples\xamarin-recipes-master\LoginRecipe\LoginRecipe\LoginPage.cs,LoginPage,The following statement contains a magic number: Content = new StackLayout {  	Padding = new Thickness (10' 40' 10' 10)'  	Children =  {  		new Label {  			Text = "Login"'  			Font = Font.SystemFontOfSize (NamedSize.Large)  		}'  		new Label {  			Text = "Username"  		}'  		username'  		new Label {  			Text = "Password"  		}'  		password'  		button  	}  };  
Magic Number,LoginRecipe,SplashPage,C:\repos\andreasjacobsen93_XamarinThirdpartySamples\xamarin-recipes-master\LoginRecipe\LoginRecipe\SplashPage.cs,SplashPage,The following statement contains a magic number: Content = new StackLayout {  	Padding = new Thickness (10' 40' 10' 10)'  	VerticalOptions = LayoutOptions.FillAndExpand'  	Children =  {  		new Label {  			Text = "Welcome"'  			Font = Font.SystemFontOfSize (NamedSize.Large)  		}'  		button  	}  };  
Magic Number,LoginRecipe,SplashPage,C:\repos\andreasjacobsen93_XamarinThirdpartySamples\xamarin-recipes-master\LoginRecipe\LoginRecipe\SplashPage.cs,SplashPage,The following statement contains a magic number: Content = new StackLayout {  	Padding = new Thickness (10' 40' 10' 10)'  	VerticalOptions = LayoutOptions.FillAndExpand'  	Children =  {  		new Label {  			Text = "Welcome"'  			Font = Font.SystemFontOfSize (NamedSize.Large)  		}'  		button  	}  };  
Magic Number,LoginRecipe,SplashPage,C:\repos\andreasjacobsen93_XamarinThirdpartySamples\xamarin-recipes-master\LoginRecipe\LoginRecipe\SplashPage.cs,SplashPage,The following statement contains a magic number: Content = new StackLayout {  	Padding = new Thickness (10' 40' 10' 10)'  	VerticalOptions = LayoutOptions.FillAndExpand'  	Children =  {  		new Label {  			Text = "Welcome"'  			Font = Font.SystemFontOfSize (NamedSize.Large)  		}'  		button  	}  };  
Magic Number,LoginRecipe,SplashPage,C:\repos\andreasjacobsen93_XamarinThirdpartySamples\xamarin-recipes-master\LoginRecipe\LoginRecipe\SplashPage.cs,SplashPage,The following statement contains a magic number: Content = new StackLayout {  	Padding = new Thickness (10' 40' 10' 10)'  	VerticalOptions = LayoutOptions.FillAndExpand'  	Children =  {  		new Label {  			Text = "Welcome"'  			Font = Font.SystemFontOfSize (NamedSize.Large)  		}'  		button  	}  };  
Magic Number,LoginRecipe,MainPage,C:\repos\andreasjacobsen93_XamarinThirdpartySamples\xamarin-recipes-master\LoginRecipe\LoginRecipe\MainPage.cs,MainPage,The following statement contains a magic number: Content = new StackLayout {  	Padding = new Thickness (10' 40' 10' 10)'  	VerticalOptions = LayoutOptions.FillAndExpand'  	Children =  {  		new Label {  			Text = "Success"'  			Font = Font.SystemFontOfSize (NamedSize.Large)  		}'  		logoutButton  	}  };  
Magic Number,LoginRecipe,MainPage,C:\repos\andreasjacobsen93_XamarinThirdpartySamples\xamarin-recipes-master\LoginRecipe\LoginRecipe\MainPage.cs,MainPage,The following statement contains a magic number: Content = new StackLayout {  	Padding = new Thickness (10' 40' 10' 10)'  	VerticalOptions = LayoutOptions.FillAndExpand'  	Children =  {  		new Label {  			Text = "Success"'  			Font = Font.SystemFontOfSize (NamedSize.Large)  		}'  		logoutButton  	}  };  
Magic Number,LoginRecipe,MainPage,C:\repos\andreasjacobsen93_XamarinThirdpartySamples\xamarin-recipes-master\LoginRecipe\LoginRecipe\MainPage.cs,MainPage,The following statement contains a magic number: Content = new StackLayout {  	Padding = new Thickness (10' 40' 10' 10)'  	VerticalOptions = LayoutOptions.FillAndExpand'  	Children =  {  		new Label {  			Text = "Success"'  			Font = Font.SystemFontOfSize (NamedSize.Large)  		}'  		logoutButton  	}  };  
Magic Number,LoginRecipe,MainPage,C:\repos\andreasjacobsen93_XamarinThirdpartySamples\xamarin-recipes-master\LoginRecipe\LoginRecipe\MainPage.cs,MainPage,The following statement contains a magic number: Content = new StackLayout {  	Padding = new Thickness (10' 40' 10' 10)'  	VerticalOptions = LayoutOptions.FillAndExpand'  	Children =  {  		new Label {  			Text = "Success"'  			Font = Font.SystemFontOfSize (NamedSize.Large)  		}'  		logoutButton  	}  };  
