Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Microsoft.Practices.EnterpriseLibrary.SemanticLogging.Utility,EventSourceAnalyzer,C:\repos\mspnp_semantic-logging\source\Src\SemanticLogging.EventSourceAnalyzer\EventSourceAnalyzer.cs,GetEventSchemas,The length of the statement  "                throw new EventSourceAnalyzerException(string.Format(CultureInfo.CurrentCulture' Properties.Resources.EventSourceAnalyzerManifestGenerationError' e.Message' EventSource.GenerateManifest(eventSource.GetType()' null))); " is 217.
Long Statement,Microsoft.Practices.EnterpriseLibrary.SemanticLogging.Utility,EventSourceAnalyzer,C:\repos\mspnp_semantic-logging\source\Src\SemanticLogging.EventSourceAnalyzer\EventSourceAnalyzer.cs,ProbeEvent,The length of the statement  "                            throw new EventSourceAnalyzerException(string.Format(CultureInfo.CurrentCulture' Properties.Resources.EventSourceAnalyzerMissingWriteEventCallError' method.Name)); " is 163.
Long Statement,Microsoft.Practices.EnterpriseLibrary.SemanticLogging.Utility,EventSourceAnalyzer,C:\repos\mspnp_semantic-logging\source\Src\SemanticLogging.EventSourceAnalyzer\EventSourceAnalyzer.cs,TryInvokeMethod,The length of the statement  "                    throw new EventSourceAnalyzerException(string.Format(CultureInfo.CurrentCulture' Properties.Resources.EventSourceAnalyzerMethodCallError' method.Name)' e); " is 155.
Long Statement,Microsoft.Practices.EnterpriseLibrary.SemanticLogging.Utility,ProbeEventListener,C:\repos\mspnp_semantic-logging\source\Src\SemanticLogging.EventSourceAnalyzer\EventSourceAnalyzer.cs,CheckPayload,The length of the statement  "                    this.Error = new EventSourceAnalyzerException(string.Format(CultureInfo.CurrentCulture' Properties.Resources.EventSourceAnalyzerDifferentParameterCount' eventMethod.Name)); " is 172.
Complex Conditional,Microsoft.Practices.EnterpriseLibrary.SemanticLogging.Utility,ProbeEventListener,C:\repos\mspnp_semantic-logging\source\Src\SemanticLogging.EventSourceAnalyzer\EventSourceAnalyzer.cs,HasRelatedActivityId,The conditional expression  "eventParameters.Length > 0                      && eventParameters[0].ParameterType == typeof(Guid)                      && string.Equals(eventParameters[0].Name' "relatedActivityId"' StringComparison.Ordinal)                      && (this.eventSchema.Opcode == EventOpcode.Send || this.eventSchema.Opcode == EventOpcode.Receive)"  is complex.
