Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Sysinternals.Debug,NativeMethods,D:\research\architectureSmells\repos\Wintellect_ProcMonDebugOutput\Source\Sysinternals.Debug\NativeMethods.cs,CreateFile,The method has 7 parameters. Parameters: lpFileName' dwDesiredAccess' dwShareMode' lpSecurityAttributes' dwCreationDisposition' dwFlagsAndAttributes' hTemplateFile
Long Parameter List,Sysinternals.Debug,NativeMethods,D:\research\architectureSmells\repos\Wintellect_ProcMonDebugOutput\Source\Sysinternals.Debug\NativeMethods.cs,DeviceIoControl,The method has 8 parameters. Parameters: hDevice' dwIoControlCode' lpInBuffer' nInBufferSize' lpOutBuffer' nOutBufferSize' lpBytesReturned' lpOverlapped
Magic Number,Sysinternals.Debug,NativeMethods,D:\research\architectureSmells\repos\Wintellect_ProcMonDebugOutput\Source\Sysinternals.Debug\NativeMethods.cs,CTL_CODE,The following statement contains a magic number: return ((DeviceType << 16) | (Access << 14) | (Function << 2) | Method);
Magic Number,Sysinternals.Debug,NativeMethods,D:\research\architectureSmells\repos\Wintellect_ProcMonDebugOutput\Source\Sysinternals.Debug\NativeMethods.cs,CTL_CODE,The following statement contains a magic number: return ((DeviceType << 16) | (Access << 14) | (Function << 2) | Method);
Magic Number,Sysinternals.Debug,NativeMethods,D:\research\architectureSmells\repos\Wintellect_ProcMonDebugOutput\Source\Sysinternals.Debug\NativeMethods.cs,CTL_CODE,The following statement contains a magic number: return ((DeviceType << 16) | (Access << 14) | (Function << 2) | Method);
