Implementation smell,Namespace,Class,File,Method,Description
Long Statement,dnlib.Examples,Example2,C:\repos\UbbeLoL_ConfuserDeobfuscator\ConfuserDeobfuscator\dnlib\Examples\Example2.cs,Run,The length of the statement  "	FieldDef field1 = new FieldDefUser ("MyField"' new FieldSig (mod.CorLibTypes.Int32)' FieldAttributes.Public | FieldAttributes.Static); " is 134.
Long Statement,dnlib.Examples,Example2,C:\repos\UbbeLoL_ConfuserDeobfuscator\ConfuserDeobfuscator\dnlib\Examples\Example2.cs,Run,The length of the statement  "	MethodAttributes methFlags = MethodAttributes.Public | MethodAttributes.Static | MethodAttributes.HideBySig | MethodAttributes.ReuseSlot; " is 137.
Long Statement,dnlib.Examples,Example2,C:\repos\UbbeLoL_ConfuserDeobfuscator\ConfuserDeobfuscator\dnlib\Examples\Example2.cs,Run,The length of the statement  "	MethodDef meth1 = new MethodDefUser ("MyMethod"' MethodSig.CreateStatic (mod.CorLibTypes.Int32' mod.CorLibTypes.Int32' mod.CorLibTypes.Int32)' methImplFlags' methFlags); " is 169.
Long Statement,dnlib.Examples,Example3,C:\repos\UbbeLoL_ConfuserDeobfuscator\ConfuserDeobfuscator\dnlib\Examples\Example3.cs,Run,The length of the statement  "	startUpType.Attributes = TypeAttributes.NotPublic | TypeAttributes.AutoLayout | TypeAttributes.Class | TypeAttributes.AnsiClass; " is 128.
Long Statement,dnlib.Examples,Example3,C:\repos\UbbeLoL_ConfuserDeobfuscator\ConfuserDeobfuscator\dnlib\Examples\Example3.cs,Run,The length of the statement  "	MethodDef entryPoint = new MethodDefUser ("Main"' MethodSig.CreateStatic (mod.CorLibTypes.Int32' new SZArraySig (mod.CorLibTypes.String))); " is 139.
Long Statement,dnlib.Examples,Example3,C:\repos\UbbeLoL_ConfuserDeobfuscator\ConfuserDeobfuscator\dnlib\Examples\Example3.cs,Run,The length of the statement  "	entryPoint.Attributes = MethodAttributes.Private | MethodAttributes.Static | MethodAttributes.HideBySig | MethodAttributes.ReuseSlot; " is 133.
Long Statement,dnlib.Examples,Example3,C:\repos\UbbeLoL_ConfuserDeobfuscator\ConfuserDeobfuscator\dnlib\Examples\Example3.cs,Run,The length of the statement  "	MemberRef consoleWrite1 = new MemberRefUser (mod' "WriteLine"' MethodSig.CreateStatic (mod.CorLibTypes.Void' mod.CorLibTypes.String)' consoleRef); " is 146.
Magic Number,dnlib.Examples,Example2,C:\repos\UbbeLoL_ConfuserDeobfuscator\ConfuserDeobfuscator\dnlib\Examples\Example2.cs,Run,The following statement contains a magic number: meth1.ParamDefs.Add (new ParamDefUser ("b"' 2));  
