Implementation smell,Namespace,Class,File,Method,Description
Long Statement,AbstractDataStructures.Comparers,CaseInsensitiveTupleComparer,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\Comparers\CaseInsensitiveTupleComparer.cs,Equals,The length of the statement  "	return string.Equals (x.Item1' y.Item1' StringComparison.OrdinalIgnoreCase) && string.Equals (x.Item2' y.Item2' StringComparison.OrdinalIgnoreCase); " is 148.
Long Statement,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,PrintResult,The length of the statement  "		result.AppendLine ("Search: By name - \"" + name + (town != null ? "\" and Town - \"" + town + "\": " : "\": ") + Environment.NewLine); " is 135.
Long Statement,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,PrintResult,The length of the statement  "		result.AppendLine ("- There is no subscriber(s) with name - \"" + name + (town != null ? "\" and Town - \"" + town + "\": " : "\"")); " is 133.
Magic Number,AbstractDataStructures,Phonebook,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\Phonebook.cs,ToString,The following statement contains a magic number: result.AppendLine (new string ('-'' 35) + " PHONEBOOK" + new string ('-'' 35) + Environment.NewLine);  
Magic Number,AbstractDataStructures,Phonebook,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\Phonebook.cs,ToString,The following statement contains a magic number: result.AppendLine (new string ('-'' 35) + " PHONEBOOK" + new string ('-'' 35) + Environment.NewLine);  
Magic Number,AbstractDataStructures,Phonebook,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\Phonebook.cs,ToString,The following statement contains a magic number: result.AppendLine (Environment.NewLine + new string ('-'' 80));  
Magic Number,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,Main,The following statement contains a magic number: Console.WriteLine (new string ('-'' 33) + "SEARCH RESULTS:" + new string ('-'' 32) + Environment.NewLine);  
Magic Number,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,Main,The following statement contains a magic number: Console.WriteLine (new string ('-'' 33) + "SEARCH RESULTS:" + new string ('-'' 32) + Environment.NewLine);  
Magic Number,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,ExtractSubscribers,The following statement contains a magic number: foreach (var line in splitByLine) {  	var subcriber = line.Split (new char[] {  		'|'  	}' StringSplitOptions.RemoveEmptyEntries).Select (a => a.Trim ()).ToArray ();  	subscribers.Add (new Subscriber (subcriber [0]' subcriber [1]' subcriber [2]));  }  
Magic Number,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,ExtractSubscribers,The following statement contains a magic number: subscribers.Add (new Subscriber (subcriber [0]' subcriber [1]' subcriber [2]));  
Magic Number,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,ExecuteCommands,The following statement contains a magic number: foreach (var command in commands) {  	if (command [0] == "find") {  		if (command.Count == 2) {  			PrintResult (phonebook.Find (command [1])' command [1]);  		} else if (command.Count == 3) {  			PrintResult (phonebook.Find (command [1]' command [2])' command [1]' command [2]);  		}  	}  }  
Magic Number,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,ExecuteCommands,The following statement contains a magic number: foreach (var command in commands) {  	if (command [0] == "find") {  		if (command.Count == 2) {  			PrintResult (phonebook.Find (command [1])' command [1]);  		} else if (command.Count == 3) {  			PrintResult (phonebook.Find (command [1]' command [2])' command [1]' command [2]);  		}  	}  }  
Magic Number,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,ExecuteCommands,The following statement contains a magic number: foreach (var command in commands) {  	if (command [0] == "find") {  		if (command.Count == 2) {  			PrintResult (phonebook.Find (command [1])' command [1]);  		} else if (command.Count == 3) {  			PrintResult (phonebook.Find (command [1]' command [2])' command [1]' command [2]);  		}  	}  }  
Magic Number,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,ExecuteCommands,The following statement contains a magic number: foreach (var command in commands) {  	if (command [0] == "find") {  		if (command.Count == 2) {  			PrintResult (phonebook.Find (command [1])' command [1]);  		} else if (command.Count == 3) {  			PrintResult (phonebook.Find (command [1]' command [2])' command [1]' command [2]);  		}  	}  }  
Magic Number,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,ExecuteCommands,The following statement contains a magic number: if (command [0] == "find") {  	if (command.Count == 2) {  		PrintResult (phonebook.Find (command [1])' command [1]);  	} else if (command.Count == 3) {  		PrintResult (phonebook.Find (command [1]' command [2])' command [1]' command [2]);  	}  }  
Magic Number,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,ExecuteCommands,The following statement contains a magic number: if (command [0] == "find") {  	if (command.Count == 2) {  		PrintResult (phonebook.Find (command [1])' command [1]);  	} else if (command.Count == 3) {  		PrintResult (phonebook.Find (command [1]' command [2])' command [1]' command [2]);  	}  }  
Magic Number,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,ExecuteCommands,The following statement contains a magic number: if (command [0] == "find") {  	if (command.Count == 2) {  		PrintResult (phonebook.Find (command [1])' command [1]);  	} else if (command.Count == 3) {  		PrintResult (phonebook.Find (command [1]' command [2])' command [1]' command [2]);  	}  }  
Magic Number,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,ExecuteCommands,The following statement contains a magic number: if (command [0] == "find") {  	if (command.Count == 2) {  		PrintResult (phonebook.Find (command [1])' command [1]);  	} else if (command.Count == 3) {  		PrintResult (phonebook.Find (command [1]' command [2])' command [1]' command [2]);  	}  }  
Magic Number,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,ExecuteCommands,The following statement contains a magic number: if (command.Count == 2) {  	PrintResult (phonebook.Find (command [1])' command [1]);  } else if (command.Count == 3) {  	PrintResult (phonebook.Find (command [1]' command [2])' command [1]' command [2]);  }  
Magic Number,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,ExecuteCommands,The following statement contains a magic number: if (command.Count == 2) {  	PrintResult (phonebook.Find (command [1])' command [1]);  } else if (command.Count == 3) {  	PrintResult (phonebook.Find (command [1]' command [2])' command [1]' command [2]);  }  
Magic Number,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,ExecuteCommands,The following statement contains a magic number: if (command.Count == 2) {  	PrintResult (phonebook.Find (command [1])' command [1]);  } else if (command.Count == 3) {  	PrintResult (phonebook.Find (command [1]' command [2])' command [1]' command [2]);  }  
Magic Number,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,ExecuteCommands,The following statement contains a magic number: if (command.Count == 2) {  	PrintResult (phonebook.Find (command [1])' command [1]);  } else if (command.Count == 3) {  	PrintResult (phonebook.Find (command [1]' command [2])' command [1]' command [2]);  }  
Magic Number,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,ExecuteCommands,The following statement contains a magic number: if (command.Count == 3) {  	PrintResult (phonebook.Find (command [1]' command [2])' command [1]' command [2]);  }  
Magic Number,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,ExecuteCommands,The following statement contains a magic number: if (command.Count == 3) {  	PrintResult (phonebook.Find (command [1]' command [2])' command [1]' command [2]);  }  
Magic Number,AbstractDataStructures,PhonebookAppEntryPoint,F:\newReposMay17\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\04. Dictionaries, Hash Tables and Sets\06. Phonebook\PhonebookAppEntryPoint.cs,ExecuteCommands,The following statement contains a magic number: if (command.Count == 3) {  	PrintResult (phonebook.Find (command [1]' command [2])' command [1]' command [2]);  }  
