Implementation smell,Namespace,Class,File,Method,Description
Complex Conditional,PathFinders.PathFinderStrategies,BfsPathFinder,C:\repos\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\02. Linear Data Structures\14. Path in labyrinth\PathFinderStrategies\BfsPathFinder.cs,IsCellAccessible,The conditional expression  "row < 0 || row >= rows ||                  col < 0 || col >= cols ||                  matrix[row' col] != EmptySign"  is complex.
Complex Conditional,PathFinders.PathFinderStrategies,DfsPathFinder,C:\repos\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\02. Linear Data Structures\14. Path in labyrinth\PathFinderStrategies\DfsPathFinder.cs,IsCellAccessible,The conditional expression  "row < 0 || row >= rows ||                  col < 0 || col >= cols ||                  matrix[row' col] != EmptySign"  is complex.
Complex Conditional,PathFinders.PathFinderStrategies,RecursivePathFinder,C:\repos\flextry_Telerik-Academy\Programming with C#\5. C# Data Structures and Algorithms\02. Linear Data Structures\14. Path in labyrinth\PathFinderStrategies\RecursivePathFinder.cs,IsCellAccessible,The conditional expression  "row < 0 || row >= rows ||                  col < 0 || col >= cols ||                  matrix[row' col] != EmptySign"  is complex.
