Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,Cooking.Food,Carrot,D:\research\architectureSmells\repos\flextry_Telerik-Academy\Programming with C#\4. C# High-Quality Code\05. Control Flow, Conditional Statements and Loops\01. Cooking\Food\Carrot.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,Cooking.Food,NaturalFood,D:\research\architectureSmells\repos\flextry_Telerik-Academy\Programming with C#\4. C# High-Quality Code\05. Control Flow, Conditional Statements and Loops\01. Cooking\Food\NaturalFood.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,Cooking.Food,Potato,D:\research\architectureSmells\repos\flextry_Telerik-Academy\Programming with C#\4. C# High-Quality Code\05. Control Flow, Conditional Statements and Loops\01. Cooking\Food\Potato.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: IsPeeled' IsRotten
