Implementation smell,Namespace,Class,File,Method,Description
Complex Method,nClam,ClamClient,D:\newReposJune17\tekmaven_nClam\nClam\ClamClient.cs,ExecuteClamCommandAsync,Cyclomatic complexity of the method is 7
Long Statement,nClam,ClamClient,D:\newReposJune17\tekmaven_nClam\nClam\ClamClient.cs,ScanFileOnServerMultithreadedAsync,The length of the statement  "	return new ClamScanResult (await ExecuteClamCommandAsync (String.Format ("MULTISCAN {0}"' filePath)' cancellationToken)); " is 121.
Long Statement,nClam,ClamClient,D:\newReposJune17\tekmaven_nClam\nClam\ClamClient.cs,SendAndScanFileAsync,The length of the statement  "	return new ClamScanResult (await ExecuteClamCommandAsync ("INSTREAM"' cancellationToken' (stream' token) => SendStreamFileChunksAsync (sourceStream' stream' token))); " is 166.
Long Statement,nClam,ClamClient,D:\newReposJune17\tekmaven_nClam\nClam\ClamClient.cs,SendAndScanFileAsync,The length of the statement  "	return new ClamScanResult (await ExecuteClamCommandAsync ("INSTREAM"' cancellationToken' (stream' token) => SendStreamFileChunksAsync (sourceStream' stream' token))); " is 166.
Magic Number,nClam,ClamClient,D:\newReposJune17\tekmaven_nClam\nClam\ClamClient.cs,ClamClient,The following statement contains a magic number: MaxChunkSize = 131072;  
Magic Number,nClam,ClamClient,D:\newReposJune17\tekmaven_nClam\nClam\ClamClient.cs,ClamClient,The following statement contains a magic number: MaxStreamSize = 26214400;  
