Implementation smell,Namespace,Class,File,Method,Description
Complex Method,NumberProgressBar_demo,App,D:\research\architectureSmells\repos1\s2003zy_NumberProgressBar\NumberProgressBar_demo\App.xaml.cs,OnLaunched,Cyclomatic complexity of the method is 8
Magic Number,NumberProgressBar_demo,MainPage,D:\research\architectureSmells\repos1\s2003zy_NumberProgressBar\NumberProgressBar_demo\MainPage.xaml.cs,song_Loaded,The following statement contains a magic number: Task.Factory.StartNew(async () =>              {                    for (int i = 0; ; i++)                  {                        await this.Dispatcher.RunAsync(CoreDispatcherPriority.Normal' () =>                      {                          song.Progress++;                          if (i % 101 == 0)                          {                              song.Progress = 0;                          }                      });                      Task.Delay(70).Wait();                  }              });
Magic Number,NumberProgressBar_demo,MainPage,D:\research\architectureSmells\repos1\s2003zy_NumberProgressBar\NumberProgressBar_demo\MainPage.xaml.cs,song_Loaded,The following statement contains a magic number: Task.Factory.StartNew(async () =>              {                    for (int i = 0; ; i++)                  {                        await this.Dispatcher.RunAsync(CoreDispatcherPriority.Normal' () =>                      {                          song.Progress++;                          if (i % 101 == 0)                          {                              song.Progress = 0;                          }                      });                      Task.Delay(70).Wait();                  }              });
