Implementation smell,Namespace,Class,File,Method,Description
Complex Method,PebbleSharp.Universal,App,D:\research\architectureSmells\repos\Keboo_PebbleSharp\Demo\PebbleSharp.Universal\PebbleSharp.Universal.Shared\App.xaml.cs,OnLaunched,Cyclomatic complexity of the method is 8
Long Statement,PebbleSharp.Universal.Universal.Common,SuspensionManager,D:\research\architectureSmells\repos\Keboo_PebbleSharp\Demo\PebbleSharp.Universal\PebbleSharp.Universal.Shared\Common\SuspensionManager.cs,SaveAsync,The length of the statement  "                StorageFile file = await ApplicationData.Current.LocalFolder.CreateFileAsync(SESSION_STATE_FILENAME' CreationCollisionOption.ReplaceExisting); " is 142.
Long Statement,PebbleSharp.Universal.Universal.Common,SuspensionManager,D:\research\architectureSmells\repos\Keboo_PebbleSharp\Demo\PebbleSharp.Universal\PebbleSharp.Universal.Shared\Common\SuspensionManager.cs,RestoreAsync,The length of the statement  "                    if (weakFrameReference.TryGetTarget(out frame) && (string)frame.GetValue(FrameSessionBaseKeyProperty) == sessionBaseKey) " is 120.
Long Statement,PebbleSharp.Universal.Universal.Common,SuspensionManager,D:\research\architectureSmells\repos\Keboo_PebbleSharp\Demo\PebbleSharp.Universal\PebbleSharp.Universal.Shared\Common\SuspensionManager.cs,RegisterFrame,The length of the statement  "                throw new InvalidOperationException("Frames must be either be registered before accessing frame session state' or not registered at all"); " is 138.
Magic Number,PebbleSharp.Universal.Universal.ViewModels,InfoViewModel,D:\research\architectureSmells\repos\Keboo_PebbleSharp\Demo\PebbleSharp.Universal\PebbleSharp.Universal.Shared\ViewModels\InfoViewModel.cs,GetPebbleTimeAsyc,The following statement contains a magic number: differece < TimeSpan.FromSeconds( 2 )
