Implementation smell,Namespace,Class,File,Method,Description
Long Statement,DistributedMediator.BackEndService.Wcf.Host.Contracts,KnownTypesProvider,C:\repos\BredStik_DistributedMediator\DistributedMediator.BackEndService.Wcf.Host\Contracts\IRequestHandlerService.cs,GetRequestInterface,The length of the statement  "	where typeof(IRequest<>).IsAssignableFrom (interfaceType.GetGenericTypeDefinition ()) || typeof(IAsyncRequest<>).IsAssignableFrom (interfaceType.GetGenericTypeDefinition ()) " is 173.
Long Statement,DistributedMediator.BackEndService.Wcf.Host.Implementations,RequestHandlerService,C:\repos\BredStik_DistributedMediator\DistributedMediator.BackEndService.Wcf.Host\Implementations\RequestHandlerService.cs,HandleFileRequest,The length of the statement  "	var isValidRequest = requestType.GetInterfaces ().Any (x => x.IsGenericType && (typeof(IAsyncRequest<>).IsAssignableFrom (x.GetGenericTypeDefinition ()) || typeof(IRequest<>).IsAssignableFrom (x.GetGenericTypeDefinition ()))); " is 226.
Long Statement,DistributedMediator.BackEndService.Wcf.Host.Implementations,RequestHandlerService,C:\repos\BredStik_DistributedMediator\DistributedMediator.BackEndService.Wcf.Host\Implementations\RequestHandlerService.cs,HandleFileRequest,The length of the statement  "	//var isAsyncRequest = requestType.GetInterfaces().Any(x => x.IsGenericType && x.GetGenericTypeDefinition() == typeof(IAsyncRequest<>)); " is 136.
Long Statement,DistributedMediator.BackEndService.Wcf.Host.Implementations,RequestHandlerService,C:\repos\BredStik_DistributedMediator\DistributedMediator.BackEndService.Wcf.Host\Implementations\RequestHandlerService.cs,HandleRequest,The length of the statement  "	var isValidRequest = requestType.GetInterfaces ().Any (x => x.IsGenericType && (typeof(IAsyncRequest<>).IsAssignableFrom (x.GetGenericTypeDefinition ()) || typeof(IRequest<>).IsAssignableFrom (x.GetGenericTypeDefinition ()))); " is 226.
Long Statement,DistributedMediator.BackEndService.Wcf.Host.Implementations,RequestHandlerService,C:\repos\BredStik_DistributedMediator\DistributedMediator.BackEndService.Wcf.Host\Implementations\RequestHandlerService.cs,HandleRequest,The length of the statement  "	var isAsyncRequest = requestType.GetInterfaces ().Any (x => x.IsGenericType && x.GetGenericTypeDefinition () == typeof(IAsyncRequest<>)); " is 137.
Long Statement,DistributedMediator.BackEndService.Wcf.Host,Program,C:\repos\BredStik_DistributedMediator\DistributedMediator.BackEndService.Wcf.Host\Program.cs,Main,The length of the statement  "	windsorContainer.Register (Classes.FromAssemblyContaining<MyRequestHandler> ().BasedOn (typeof(MediatR.IRequestHandler<' >)).WithServiceAllInterfaces ().LifestylePerWcfOperation ()); " is 182.
Long Statement,DistributedMediator.BackEndService.Wcf.Host,Program,C:\repos\BredStik_DistributedMediator\DistributedMediator.BackEndService.Wcf.Host\Program.cs,Main,The length of the statement  "	windsorContainer.Register (Classes.FromAssemblyContaining<MyRequestHandler> ().BasedOn (typeof(MediatR.IAsyncRequestHandler<' >)).WithServiceAllInterfaces ().LifestylePerWcfOperation ()); " is 187.
Long Statement,DistributedMediator.BackEndService.Wcf.Host,Program,C:\repos\BredStik_DistributedMediator\DistributedMediator.BackEndService.Wcf.Host\Program.cs,Main,The length of the statement  "	windsorContainer.Register (Component.For<IRequestHandlerService> ().ImplementedBy<RequestHandlerService> ().AsWcfService (new DefaultServiceModel (WcfEndpoint.BoundTo (new NetTcpBinding () { " is 190.
