Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Day5_SettingsContract,App,C:\repos\csell5_31DaysOfWindows8\source\XAML\Day5-SettingsContract\Day5-SettingsContract\App.xaml.cs,BuildSettingsItem,The length of the statement  "            p.SetValue(Canvas.LeftProperty' SettingsPane.Edge == SettingsEdgeLocation.Right ? (Window.Current.Bounds.Width - w) : 0); " is 121.
Magic Number,Day5_SettingsContract,App,C:\repos\csell5_31DaysOfWindows8\source\XAML\Day5-SettingsContract\Day5-SettingsContract\App.xaml.cs,App_CommandsRequested,The following statement contains a magic number: SettingsCommand command = new SettingsCommand("about"' "About This App"' (handler) =>              {                  Popup popup = BuildSettingsItem(new AboutPage()' 646);                  popup.IsOpen = true;              });
