Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
JavascriptConnector,1,8,1,0,1,67,12,0,1,0.75,8,0
JavascriptPluginManager,0,1,2,0,0,34,3,0,0,0,2,1
JavascriptPlugin,0,2,2,0,0,30,3,0,0,0,1,2
Console,0,6,1,0,4,30,6,0,0,0,0,9
