Architecture smell,Project,Namespace,Cause
Cyclic Dependency,StarryEyes.Anomaly,StarryEyes.Anomaly.TwitterApi.DataModels,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: StarryEyes.Anomaly.TwitterApi.DataModels' StarryEyes.Anomaly.Utils
Unstable Dependency,StarryEyes.Anomaly,StarryEyes.Anomaly,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): StarryEyes.Anomaly.TwitterApi
Unstable Dependency,StarryEyes.Anomaly,StarryEyes.Anomaly.TwitterApi.DataModels,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): StarryEyes.Anomaly.Utils' StarryEyes.Filters.Expressions.Values.Users
Feature Concentration,StarryEyes.Anomaly,StarryEyes.Anomaly.TwitterApi.DataModels,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TwitterActivity]' [TwitterConfiguration]' [TwitterEntity' EntityType' TwitterStatus' StatusType' EntityDisplayMode' TwitterUser' TwitterList' ListMode]' [TwitterFriendship]. LCC (Lack of Component Cohesion) = 0.36
Feature Concentration,StarryEyes.Anomaly,StarryEyes.Anomaly.TwitterApi.Rest,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Accounts]' [Blockings]' [Cursoring]' [DirectMessages]' [Favorites]' [Help]' [Lists]' [Relations]' [Searching' SearchResultType]' [Timelines]' [Tweets]' [Users]. LCC (Lack of Component Cohesion) = 0.92
Feature Concentration,StarryEyes.Anomaly,StarryEyes.Anomaly.TwitterApi.Streams,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IStreamHandler' StreamHandler' StreamParseException' TwitterStreamParser' UserStreamParser]' [StreamWinder' UserStreams]. LCC (Lack of Component Cohesion) = 0.29
Feature Concentration,StarryEyes.Anomaly,StarryEyes.Anomaly.Utils,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HttpUtility]' [ImageUriUtility' ImageSize]' [ParsingExtension' TextEntityResolver' UnixEpoch]' [ReactiveUtility]' [TextSurrogateHelper]' [TextEntityDescription]. LCC (Lack of Component Cohesion) = 0.67
Scattered Functionality,StarryEyes.Anomaly,StarryEyes.Anomaly.TwitterApi.Rest,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: StarryEyes.Anomaly' StarryEyes.Anomaly.TwitterApi.Rest.Infrastructure
Scattered Functionality,StarryEyes.Anomaly,StarryEyes.Anomaly.TwitterApi.Rest,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: StarryEyes.Anomaly' StarryEyes.Anomaly.Ext
Scattered Functionality,StarryEyes.Anomaly,StarryEyes.Anomaly.TwitterApi.Rest,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: StarryEyes.Anomaly' StarryEyes.Anomaly.TwitterApi.Rest.Infrastructure' StarryEyes.Anomaly.Ext
