Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,WhereDoesThisLinkGo.Controllers,UrlController,C:\research\architectureSmells\repos\robertgreiner_WhereDoesThisLinkGo\WhereDoesThisLinkGo\Controllers\UrlController.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,WhereDoesThisLinkGo,MvcApplication,C:\research\architectureSmells\repos\robertgreiner_WhereDoesThisLinkGo\WhereDoesThisLinkGo\Global.asax.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,WhereDoesThisLinkGo.Models,UrlViewModel,C:\research\architectureSmells\repos\robertgreiner_WhereDoesThisLinkGo\WhereDoesThisLinkGo\Models\UrlViewModel.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ShortenedUri' ExpandedUri' ErrorMessage
