Architecture smell,Project,Namespace,Cause,Responsible Classes,Participating Classes
Scattered Functionality,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests.Messaging,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: ServiceStack' ServiceStack' ServiceStack.Messaging,ServiceStack.MessageExtensions' ServiceStack.ServiceStackHost' ServiceStack.Messaging.IMessageProducer' ServiceStack.Messaging.IMessageQueueClient' ServiceStack.Messaging.IMessage' ServiceStack.ServiceClientBase,ServiceStack.MessageExtensions' ServiceStack.ServiceStackHost' ServiceStack.Messaging.IMessageProducer' ServiceStack.Messaging.IMessageQueueClient' ServiceStack.Messaging.IMessage' ServiceStack.ServiceClientBase
Scattered Functionality,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests.Messaging,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: ServiceStack.Messaging' ServiceStack,ServiceStack.Messaging.IMessage' ServiceStack.Messaging.IMessageService' ServiceStack.MessageExtensions' ServiceStack.Messaging.IMessageQueueClient' ServiceStack.Messaging.IMessageProducer' ServiceStack.Messaging.QueueNames' ServiceStack.Messaging.MessageFactory,ServiceStack.Messaging.IMessage' ServiceStack.Messaging.IMessageService' ServiceStack.MessageExtensions' ServiceStack.Messaging.IMessageQueueClient' ServiceStack.Messaging.IMessageProducer' ServiceStack.Messaging.QueueNames' ServiceStack.Messaging.MessageFactory
Scattered Functionality,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests.Messaging,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: ServiceStack' Funq' ServiceStack.Messaging' ServiceStack,ServiceStack.ServiceStackHost' Funq.Container' ServiceStack.Messaging.IMessageService' ServiceStack.MessageExtensions' ServiceStack.Messaging.IMessageProducer' ServiceStack.Messaging.IMessageQueueClient' ServiceStack.Messaging.IMessage' Funq.IReused,ServiceStack.ServiceStackHost' Funq.Container' ServiceStack.Messaging.IMessageService' ServiceStack.MessageExtensions' ServiceStack.Messaging.IMessageProducer' ServiceStack.Messaging.IMessageQueueClient' ServiceStack.Messaging.IMessage' Funq.IReused
Scattered Functionality,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests.Messaging,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: ServiceStack.RabbitMq' ServiceStack.Messaging,ServiceStack.RabbitMq.RabbitMqServer' ServiceStack.Messaging.IMessage' ServiceStack.RabbitMq.RabbitMqMessageFactory' ServiceStack.Messaging.IMessageProducer' ServiceStack.Messaging.IMessageQueueClient,ServiceStack.RabbitMq.RabbitMqServer' ServiceStack.Messaging.IMessage' ServiceStack.RabbitMq.RabbitMqMessageFactory' ServiceStack.Messaging.IMessageProducer' ServiceStack.Messaging.IMessageQueueClient
Scattered Functionality,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests.Messaging,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: ServiceStack.RabbitMq' ServiceStack.Messaging' ServiceStack,ServiceStack.RabbitMq.RabbitMqServer' ServiceStack.Messaging.IMessage' ServiceStack.MessageExtensions' ServiceStack.Messaging.IMessageProducer' ServiceStack.Messaging.IMessageQueueClient,ServiceStack.RabbitMq.RabbitMqServer' ServiceStack.Messaging.IMessage' ServiceStack.MessageExtensions' ServiceStack.Messaging.IMessageProducer' ServiceStack.Messaging.IMessageQueueClient
Scattered Functionality,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests.Messaging,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: ServiceStack.RabbitMq' ServiceStack.Messaging' ServiceStack' ServiceStack,ServiceStack.RabbitMq.RabbitMqServer' ServiceStack.Messaging.IMessage' ServiceStack.MessageExtensions' ServiceStack.IntExtensions' ServiceStack.Messaging.IMessageProducer,ServiceStack.RabbitMq.RabbitMqServer' ServiceStack.Messaging.IMessage' ServiceStack.MessageExtensions' ServiceStack.IntExtensions' ServiceStack.Messaging.IMessageProducer
Scattered Functionality,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests.Messaging,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: ServiceStack.Messaging' ServiceStack.Messaging.Redis,ServiceStack.Messaging.IMessage' ServiceStack.Messaging.Redis.RedisMqServer' ServiceStack.Messaging.IMessageProducer,ServiceStack.Messaging.IMessage' ServiceStack.Messaging.Redis.RedisMqServer' ServiceStack.Messaging.IMessageProducer
Scattered Functionality,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests.Messaging,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: ServiceStack.Messaging.Redis' ServiceStack.Messaging' ServiceStack,ServiceStack.Messaging.Redis.RedisMqServer' ServiceStack.Messaging.IMessage' ServiceStack.Messaging.IMessageProducer' ServiceStack.IntExtensions,ServiceStack.Messaging.Redis.RedisMqServer' ServiceStack.Messaging.IMessage' ServiceStack.Messaging.IMessageProducer' ServiceStack.IntExtensions
Scattered Functionality,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests.Shared,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: ServiceStack' ServiceStack.Caching,ServiceStack.IntExtensions' ServiceStack.Caching.ICacheClient' ServiceStack.EnumerableExtensions,ServiceStack.IntExtensions' ServiceStack.Caching.ICacheClient' ServiceStack.EnumerableExtensions
Scattered Functionality,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests.Shared,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: ServiceStack' ServiceStack.Caching,ServiceStack.SessionFeature' ServiceStack.Caching.ICacheClient' ServiceStack.CacheClientExtensions,ServiceStack.SessionFeature' ServiceStack.Caching.ICacheClient' ServiceStack.CacheClientExtensions
Scattered Functionality,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests.Shared,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: ServiceStack' ServiceStack' ServiceStack.Caching,ServiceStack.SessionFactory' ServiceStack.IntExtensions' ServiceStack.Caching.ISession' ServiceStack.SessionFeature' ServiceStack.Caching.ICacheClient' ServiceStack.CacheClientExtensions,ServiceStack.SessionFactory' ServiceStack.IntExtensions' ServiceStack.Caching.ISession' ServiceStack.SessionFeature' ServiceStack.Caching.ICacheClient' ServiceStack.CacheClientExtensions
