Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Microsoft.ConnectTheDots.GatewayExe,Program,C:\research\architectureSmells\repos\MSOpenTech_connectthedots\Devices\Gateways\GatewayService\WindowsEXE\Program.cs,InitGateway,The length of the statement  "                TunableLogger.LoggingLevel loggingLevel = TunableLogger.LevelFromString( ConfigurationManager.AppSettings.Get( "LoggingLevel" ) );" is 130.
Long Statement,Microsoft.ConnectTheDots.GatewayExe,Program,C:\research\architectureSmells\repos\MSOpenTech_connectthedots\Devices\Gateways\GatewayService\WindowsEXE\Program.cs,InitGateway,The length of the statement  "                ( ( TunableLogger )logger ).Level = ( loggingLevel != TunableLogger.LoggingLevel.Undefined ) ? loggingLevel : TunableLogger.LoggingLevel.Errors;" is 144.
Long Statement,Microsoft.ConnectTheDots.GatewayExe,Program,C:\research\architectureSmells\repos\MSOpenTech_connectthedots\Devices\Gateways\GatewayService\WindowsEXE\Program.cs,OnUnobservedTaskException,The length of the statement  "            _logger.LogError( String.Format( "task Exception: '{0}'\r\nTrace:\r\n{1}"' e.Exception.Message' e.Exception.StackTrace ) );" is 123.
