Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Lu.AspnetIdentity.Dapper,UserStore<TUser;TRole;TKey;TRoleKey>,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\Lu.AspnetIdentity.Dapper\UserStore.cs,FindAsync,The length of the statement  "            var task = DbContent.UserLoginRepository.FindAsync(c => c.LoginProvider == login.LoginProvider && c.ProviderKey == login.ProviderKey); " is 134.
Long Statement,Lu.AspnetIdentity.Dapper,UserStore<TUser;TRole;TKey;TRoleKey>,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\Lu.AspnetIdentity.Dapper\UserStore.cs,RemoveLoginAsync,The length of the statement  "            await DbContent.UserLoginRepository.RemoveAsync(c=>(object)c.UserId==(object)user.Id && c.ProviderKey==login.ProviderKey && c.LoginProvider==login.LoginProvider); " is 162.
Long Statement,Lu.AspnetIdentity.Dapper,UserStore<TUser;TRole;TKey;TRoleKey>,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\Lu.AspnetIdentity.Dapper\UserStore.cs,RemoveClaimAsync,The length of the statement  "            await DbContent.UserClaimRepository.RemoveAsync(c=>(object)c.UserId==(object)user.Id && c.ClaimValue==claim.Value && c.ClaimType==claim.ValueType); " is 147.
Long Statement,Lu.AspnetIdentity.Dapper,UserStore<TUser;TRole;TKey;TRoleKey>,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\Lu.AspnetIdentity.Dapper\UserStore.cs,GetRoleNamesSqlString,The length of the statement  "            return string.Format("select name from {0} a inner join {1} b on a.Id=b.RoleId where b.UserId=@Id"' roletableName' userRoleTableName); " is 134.
Long Statement,Lu.AspnetIdentity.Dapper,UserStore<TUser;TRole;TKey;TRoleKey>,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\Lu.AspnetIdentity.Dapper\UserStore.cs,GetIsInRoleSqlString,The length of the statement  "            return string.Format("select name from {0} a inner join {1} b on a.Id=b.RoleId where b.UserId=@UserId and a.Name=@Name"' roletableName' userRoleTableName); " is 155.
Long Statement,Lu.AspnetIdentity.Dapper,UserStore<TUser;TRole;TKey;TRoleKey>,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\Lu.AspnetIdentity.Dapper\UserStore.cs,RemoveFromRoleAsync,The length of the statement  "                await DbContent.UserRoleRepository.RemoveAsync(c => (object)c.RoleId == (object)role.Id && (object)c.UserId == (object)user.Id); " is 128.
