Implementation smell,Namespace,Class,File,Method,Description
Long Statement,FakeItEasy,ValueTaskReturnValueConfigurationExtensions,D:\research\architectureSmells\repos\FakeItEasy_FakeItEasy\src\FakeItEasy\ValueTaskReturnValueConfigurationExtensions.cs,ReturnsLazily,The length of the statement  "                ValueProducerSignatureHelper.AssertThatValueProducerSignatureSatisfiesCallSignature(call.Method' valueProducer.GetMethodInfo()' NameOfReturnsLazilyFeature); " is 156.
Long Statement,FakeItEasy,ValueTaskReturnValueConfigurationExtensions,D:\research\architectureSmells\repos\FakeItEasy_FakeItEasy\src\FakeItEasy\ValueTaskReturnValueConfigurationExtensions.cs,ReturnsLazily,The length of the statement  "                ValueProducerSignatureHelper.AssertThatValueProducerSignatureSatisfiesCallSignature(call.Method' valueProducer.GetMethodInfo()' NameOfReturnsLazilyFeature); " is 156.
Long Statement,FakeItEasy,ValueTaskReturnValueConfigurationExtensions,D:\research\architectureSmells\repos\FakeItEasy_FakeItEasy\src\FakeItEasy\ValueTaskReturnValueConfigurationExtensions.cs,ReturnsLazily,The length of the statement  "                ValueProducerSignatureHelper.AssertThatValueProducerSignatureSatisfiesCallSignature(call.Method' valueProducer.GetMethodInfo()' NameOfReturnsLazilyFeature); " is 156.
Long Statement,FakeItEasy,ValueTaskReturnValueConfigurationExtensions,D:\research\architectureSmells\repos\FakeItEasy_FakeItEasy\src\FakeItEasy\ValueTaskReturnValueConfigurationExtensions.cs,ReturnsLazily,The length of the statement  "                return new ValueTask<TReturnType>(valueProducer(call.GetArgument<T1>(0)' call.GetArgument<T2>(1)' call.GetArgument<T3>(2))); " is 124.
Long Statement,FakeItEasy,ValueTaskReturnValueConfigurationExtensions,D:\research\architectureSmells\repos\FakeItEasy_FakeItEasy\src\FakeItEasy\ValueTaskReturnValueConfigurationExtensions.cs,ReturnsLazily,The length of the statement  "                ValueProducerSignatureHelper.AssertThatValueProducerSignatureSatisfiesCallSignature(call.Method' valueProducer.GetMethodInfo()' NameOfReturnsLazilyFeature); " is 156.
Long Statement,FakeItEasy,ValueTaskReturnValueConfigurationExtensions,D:\research\architectureSmells\repos\FakeItEasy_FakeItEasy\src\FakeItEasy\ValueTaskReturnValueConfigurationExtensions.cs,ReturnsLazily,The length of the statement  "                return new ValueTask<TReturnType>(valueProducer(call.GetArgument<T1>(0)' call.GetArgument<T2>(1)' call.GetArgument<T3>(2)' call.GetArgument<T4>(3))); " is 149.
Long Statement,FakeItEasy,ValueTaskReturnValueConfigurationExtensions,D:\research\architectureSmells\repos\FakeItEasy_FakeItEasy\src\FakeItEasy\ValueTaskReturnValueConfigurationExtensions.cs,ReturnsLazily,The length of the statement  "                ValueProducerSignatureHelper.AssertThatValueProducerSignatureSatisfiesCallSignature(call.Method' valueProducer.GetMethodInfo()' NameOfReturnsLazilyFeature); " is 156.
Long Statement,FakeItEasy,ValueTaskReturnValueConfigurationExtensions,D:\research\architectureSmells\repos\FakeItEasy_FakeItEasy\src\FakeItEasy\ValueTaskReturnValueConfigurationExtensions.cs,ReturnsLazily,The length of the statement  "                return new ValueTask<TReturnType>(valueProducer(call.GetArgument<T1>(0)' call.GetArgument<T2>(1)' call.GetArgument<T3>(2)' call.GetArgument<T4>(3)' call.GetArgument<T5>(4))); " is 174.
Long Statement,FakeItEasy,ValueTaskReturnValueConfigurationExtensions,D:\research\architectureSmells\repos\FakeItEasy_FakeItEasy\src\FakeItEasy\ValueTaskReturnValueConfigurationExtensions.cs,ReturnsLazily,The length of the statement  "                ValueProducerSignatureHelper.AssertThatValueProducerSignatureSatisfiesCallSignature(call.Method' valueProducer.GetMethodInfo()' NameOfReturnsLazilyFeature); " is 156.
Long Statement,FakeItEasy,ValueTaskReturnValueConfigurationExtensions,D:\research\architectureSmells\repos\FakeItEasy_FakeItEasy\src\FakeItEasy\ValueTaskReturnValueConfigurationExtensions.cs,ReturnsLazily,The length of the statement  "                return new ValueTask<TReturnType>(valueProducer(call.GetArgument<T1>(0)' call.GetArgument<T2>(1)' call.GetArgument<T3>(2)' call.GetArgument<T4>(3)' call.GetArgument<T5>(4)' call.GetArgument<T6>(5))); " is 199.
