Method,LOC,CC,PC
HttpListenerException:HttpListenerException,2,1,0
HttpListenerException:HttpListenerException,2,1,1
HttpListenerException:HttpListenerException,2,1,2
HttpListenerException:HttpListenerException,2,1,2
HttpListenerPrefixCollection:HttpListenerPrefixCollection,3,1,1
HttpListenerPrefixCollection:Add,9,3,1
HttpListenerPrefixCollection:Clear,6,2,0
HttpListenerPrefixCollection:Contains,4,1,1
HttpListenerPrefixCollection:CopyTo,4,1,2
HttpListenerPrefixCollection:CopyTo,4,1,2
HttpListenerPrefixCollection:GetEnumerator,3,1,0
HttpListenerPrefixCollection:GetEnumerator,3,1,0
HttpListenerPrefixCollection:Remove,9,4,1
HttpListenerRequest:HttpListenerRequest,6,1,1
HttpListenerRequest:SetRequestLine,32,6,1
HttpListenerRequest:CreateQueryString,19,5,1
HttpListenerRequest:FinishInitialization,62,16,0
HttpListenerRequest:Unquote,7,2,1
HttpListenerRequest:AddHeader,78,3,1
HttpListenerRequest:BeginGetClientCertificate,3,1,2
HttpListenerResponse:HttpListenerResponse,3,1,1
HttpListenerResponse:GetStatusDescription,51,2,1
HttpListenerResponse:Dispose,3,1,0
HttpListenerResponse:Abort,5,2,0
HttpListenerResponse:AddHeader,11,4,2
HttpListenerResponse:AppendCookie,6,2,1
HttpListenerResponse:AppendHeader,10,4,2
HttpListenerResponse:Close,5,1,1
HttpListenerResponse:Close,5,2,0
HttpListenerResponse:Close,10,3,2
HttpListenerResponse:CopyFrom,9,1,1
HttpListenerResponse:Redirect,4,1,1
HttpListenerResponse:FindCookie,14,5,1
HttpListenerResponse:SendHeaders,82,20,2
HttpListenerResponse:SetCookie,11,4,1
HttpStreamAsyncResult:Complete,4,1,1
HttpStreamAsyncResult:Complete,11,1,0
HttpUtility:HttpUtility,2,1,0
HttpUtility:UrlDecode,3,1,1
HttpUtility:GetChars,3,1,2
HttpUtility:UrlDecode,45,11,2
ListenerAsyncResult:ListenerAsyncResult,4,1,2
ListenerAsyncResult:Complete,11,1,1
ListenerAsyncResult:InvokeCallback,4,1,1
ListenerAsyncResult:Complete,3,1,1
