Implementation smell,Namespace,Class,File,Method,Description
Long Statement,WindowsFormsApplication1,CreateASimGame,F:\newReposMay17\Afr0_Project-Dollhouse\TSOClient\Vitaboy\WindowsFormsApplication1\CreateASimGame.cs,M_Graphics_DeviceCreated,The length of the statement  "	mProjectionMat = Matrix.CreatePerspectiveFieldOfView (MathHelper.Pi / 4.0f' (float)m_Graphics.GraphicsDevice.PresentationParameters.BackBufferWidth / (float)m_Graphics.GraphicsDevice.PresentationParameters.BackBufferHeight' 1.0f' 100.0f); " is 238.
Long Statement,WindowsFormsApplication1,CreateASimGame,F:\newReposMay17\Afr0_Project-Dollhouse\TSOClient\Vitaboy\WindowsFormsApplication1\CreateASimGame.cs,Update,The length of the statement  "	mWorldMat = Matrix.Identity * Matrix.CreateScale (m_Scale) * Matrix.CreateRotationX (m_RotationX) * Matrix.CreateRotationY (m_RotationY) * Matrix.CreateRotationZ (m_RotationZ); " is 176.
Long Statement,WindowsFormsApplication1,Program,F:\newReposMay17\Afr0_Project-Dollhouse\TSOClient\Vitaboy\WindowsFormsApplication1\Program.cs,InternalCheckIsWow64,The length of the statement  "	if ((Environment.OSVersion.Version.Major == 5 && Environment.OSVersion.Version.Minor >= 1) || Environment.OSVersion.Version.Major >= 6) { " is 137.
Magic Number,WindowsFormsApplication1,Program,F:\newReposMay17\Afr0_Project-Dollhouse\TSOClient\Vitaboy\WindowsFormsApplication1\Program.cs,InternalCheckIsWow64,The following statement contains a magic number: if ((Environment.OSVersion.Version.Major == 5 && Environment.OSVersion.Version.Minor >= 1) || Environment.OSVersion.Version.Major >= 6) {  	using (Process p = Process.GetCurrentProcess ()) {  		bool retVal;  		if (!IsWow64Process (p.Handle' out retVal)) {  			return false;  		}  		return retVal;  	}  } else {  	return false;  }  
Magic Number,WindowsFormsApplication1,Program,F:\newReposMay17\Afr0_Project-Dollhouse\TSOClient\Vitaboy\WindowsFormsApplication1\Program.cs,InternalCheckIsWow64,The following statement contains a magic number: if ((Environment.OSVersion.Version.Major == 5 && Environment.OSVersion.Version.Minor >= 1) || Environment.OSVersion.Version.Major >= 6) {  	using (Process p = Process.GetCurrentProcess ()) {  		bool retVal;  		if (!IsWow64Process (p.Handle' out retVal)) {  			return false;  		}  		return retVal;  	}  } else {  	return false;  }  
