Implementation smell,Namespace,Class,File,Method,Description
Magic Number,MapGenerator.Utils,ImageSaver,C:\repos\quercitron_MapCreator\MapGenerator.Utils\ImageSaver.cs,SaveBitmap,The following statement contains a magic number: if (File.Exists (Path.Combine (m_Path' imageName + ".bmp"))) {  	for (int i = 2; ; i++) {  		var newImageName = string.Format ("{0}_{1}"' imageName' i);  		if (!File.Exists (Path.Combine (m_Path' newImageName + ".bmp"))) {  			imageName = newImageName;  			break;  		}  	}  }  
Magic Number,MapGenerator.Utils,ImageSaver,C:\repos\quercitron_MapCreator\MapGenerator.Utils\ImageSaver.cs,SaveBitmap,The following statement contains a magic number: for (int i = 2; ; i++) {  	var newImageName = string.Format ("{0}_{1}"' imageName' i);  	if (!File.Exists (Path.Combine (m_Path' newImageName + ".bmp"))) {  		imageName = newImageName;  		break;  	}  }  
