Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Samples.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Samples\Samples.Android\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.XamForms.BarCodeScanner.Droid.Resource.Layout.zxingscanneractivitylayout = global::Samples.Droid.Resource.Layout.zxingscanneractivitylayout; " is 152.
Long Statement,Samples.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Samples\Samples.Android\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.XamForms.BarCodeScanner.Droid.Resource.Layout.zxingscannerfragmentlayout = global::Samples.Droid.Resource.Layout.zxingscannerfragmentlayout; " is 152.
Long Statement,Samples.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Samples\Samples.Android\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.XamForms.BarCodeScanner.Droid.Resource.String.ApplicationName = global::Samples.Droid.Resource.String.ApplicationName; " is 130.
Long Statement,Samples.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Samples\Samples.Android\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.XamForms.Mobile.Droid.Resource.String.ApplicationName = global::Samples.Droid.Resource.String.ApplicationName; " is 122.
Long Statement,Samples.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Samples\Samples.Android\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.XamForms.SignaturePad.Droid.Resource.Layout.SignaturePad = global::Samples.Droid.Resource.Layout.SignaturePad; " is 122.
Long Statement,Samples.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Samples\Samples.Android\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.XamForms.SignaturePad.Droid.Resource.String.ApplicationName = global::Samples.Droid.Resource.String.ApplicationName; " is 128.
Long Statement,Samples.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Samples\Samples.Android\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.XamForms.UserDialogs.Droid.Resource.Attribute.ahBarColor = global::Samples.Droid.Resource.Attribute.ahBarColor; " is 123.
Long Statement,Samples.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Samples\Samples.Android\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.XamForms.UserDialogs.Droid.Resource.Attribute.ahBarLength = global::Samples.Droid.Resource.Attribute.ahBarLength; " is 125.
Long Statement,Samples.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Samples\Samples.Android\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.XamForms.UserDialogs.Droid.Resource.Attribute.ahBarWidth = global::Samples.Droid.Resource.Attribute.ahBarWidth; " is 123.
Long Statement,Samples.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Samples\Samples.Android\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.XamForms.UserDialogs.Droid.Resource.Attribute.ahCircleColor = global::Samples.Droid.Resource.Attribute.ahCircleColor; " is 129.
Long Statement,Samples.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Samples\Samples.Android\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.XamForms.UserDialogs.Droid.Resource.Attribute.ahDelayMillis = global::Samples.Droid.Resource.Attribute.ahDelayMillis; " is 129.
Long Statement,Samples.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Samples\Samples.Android\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.XamForms.UserDialogs.Droid.Resource.Attribute.ahRimColor = global::Samples.Droid.Resource.Attribute.ahRimColor; " is 123.
