Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Acr.XamForms.SignaturePad.iOS,SignaturePadRenderer,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignaturePadRenderer.cs,OnElementChanged,Cyclomatic complexity of the method is 12
Complex Method,Acr.XamForms.SignaturePad.iOS,SignaturePadRenderer,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignaturePadRenderer.cs,OnElementPropertyChanged,Cyclomatic complexity of the method is 12
Long Statement,Acr.XamForms.SignaturePad.iOS,SignatureServiceController,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceController.cs,ViewDidLoad,The length of the statement  "					this.onResult(new SignatureResult(false' () => new FileStream(tempPath' FileMode.Open' FileAccess.Read' FileShare.Read)' points)); " is 130.
Magic Number,Acr.XamForms.SignaturePad.iOS,SignatureServiceController,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceController.cs,GetTempFilePath,The following statement contains a magic number: var documents = UIDevice.CurrentDevice.CheckSystemVersion(8' 0)  				? NSFileManager.DefaultManager.GetUrls(NSSearchPathDirectory.DocumentDirectory' NSSearchPathDomain.User)[0].Path  				: Environment.GetFolderPath(Environment.SpecialFolder.MyDocuments);
Magic Number,SignaturePad.iOS,SignatureServiceView,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceView.cs,LayoutSubviews,The following statement contains a magic number: this.Signature.Frame = UIDevice.CurrentDevice.UserInterfaceIdiom == UIUserInterfaceIdiom.Phone  				? new CGRect(10' 10' Frame.Width - 20' Frame.Height - 60)  				: new CGRect(84' 84' Frame.Width - 168' Frame.Width / 2);
Magic Number,SignaturePad.iOS,SignatureServiceView,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceView.cs,LayoutSubviews,The following statement contains a magic number: this.Signature.Frame = UIDevice.CurrentDevice.UserInterfaceIdiom == UIUserInterfaceIdiom.Phone  				? new CGRect(10' 10' Frame.Width - 20' Frame.Height - 60)  				: new CGRect(84' 84' Frame.Width - 168' Frame.Width / 2);
Magic Number,SignaturePad.iOS,SignatureServiceView,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceView.cs,LayoutSubviews,The following statement contains a magic number: this.Signature.Frame = UIDevice.CurrentDevice.UserInterfaceIdiom == UIUserInterfaceIdiom.Phone  				? new CGRect(10' 10' Frame.Width - 20' Frame.Height - 60)  				: new CGRect(84' 84' Frame.Width - 168' Frame.Width / 2);
Magic Number,SignaturePad.iOS,SignatureServiceView,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceView.cs,LayoutSubviews,The following statement contains a magic number: this.Signature.Frame = UIDevice.CurrentDevice.UserInterfaceIdiom == UIUserInterfaceIdiom.Phone  				? new CGRect(10' 10' Frame.Width - 20' Frame.Height - 60)  				: new CGRect(84' 84' Frame.Width - 168' Frame.Width / 2);
Magic Number,SignaturePad.iOS,SignatureServiceView,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceView.cs,LayoutSubviews,The following statement contains a magic number: this.Signature.Frame = UIDevice.CurrentDevice.UserInterfaceIdiom == UIUserInterfaceIdiom.Phone  				? new CGRect(10' 10' Frame.Width - 20' Frame.Height - 60)  				: new CGRect(84' 84' Frame.Width - 168' Frame.Width / 2);
Magic Number,SignaturePad.iOS,SignatureServiceView,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceView.cs,LayoutSubviews,The following statement contains a magic number: this.Signature.Frame = UIDevice.CurrentDevice.UserInterfaceIdiom == UIUserInterfaceIdiom.Phone  				? new CGRect(10' 10' Frame.Width - 20' Frame.Height - 60)  				: new CGRect(84' 84' Frame.Width - 168' Frame.Width / 2);
Magic Number,SignaturePad.iOS,SignatureServiceView,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceView.cs,LayoutSubviews,The following statement contains a magic number: this.Signature.Frame = UIDevice.CurrentDevice.UserInterfaceIdiom == UIUserInterfaceIdiom.Phone  				? new CGRect(10' 10' Frame.Width - 20' Frame.Height - 60)  				: new CGRect(84' 84' Frame.Width - 168' Frame.Width / 2);
Magic Number,SignaturePad.iOS,SignatureServiceView,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceView.cs,LayoutSubviews,The following statement contains a magic number: this.Signature.Frame = UIDevice.CurrentDevice.UserInterfaceIdiom == UIUserInterfaceIdiom.Phone  				? new CGRect(10' 10' Frame.Width - 20' Frame.Height - 60)  				: new CGRect(84' 84' Frame.Width - 168' Frame.Width / 2);
Magic Number,SignaturePad.iOS,SignatureServiceView,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceView.cs,LayoutSubviews,The following statement contains a magic number: this.Signature.Frame = new CGRect (10' 10' Frame.Width - 20' Frame.Height - 60);
Magic Number,SignaturePad.iOS,SignatureServiceView,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceView.cs,LayoutSubviews,The following statement contains a magic number: this.Signature.Frame = new CGRect (10' 10' Frame.Width - 20' Frame.Height - 60);
Magic Number,SignaturePad.iOS,SignatureServiceView,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceView.cs,LayoutSubviews,The following statement contains a magic number: this.Signature.Frame = new CGRect (10' 10' Frame.Width - 20' Frame.Height - 60);
Magic Number,SignaturePad.iOS,SignatureServiceView,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceView.cs,LayoutSubviews,The following statement contains a magic number: this.Signature.Frame = new CGRect (10' 10' Frame.Width - 20' Frame.Height - 60);
Magic Number,SignaturePad.iOS,SignatureServiceView,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceView.cs,LayoutSubviews,The following statement contains a magic number: this.SaveButton.Frame = new CGRect(10' this.Frame.Height - 40' 120' 37);
Magic Number,SignaturePad.iOS,SignatureServiceView,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceView.cs,LayoutSubviews,The following statement contains a magic number: this.SaveButton.Frame = new CGRect(10' this.Frame.Height - 40' 120' 37);
Magic Number,SignaturePad.iOS,SignatureServiceView,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceView.cs,LayoutSubviews,The following statement contains a magic number: this.SaveButton.Frame = new CGRect(10' this.Frame.Height - 40' 120' 37);
Magic Number,SignaturePad.iOS,SignatureServiceView,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceView.cs,LayoutSubviews,The following statement contains a magic number: this.SaveButton.Frame = new CGRect(10' this.Frame.Height - 40' 120' 37);
Magic Number,SignaturePad.iOS,SignatureServiceView,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceView.cs,LayoutSubviews,The following statement contains a magic number: this.CancelButton.Frame = new CGRect(this.Frame.Width - 130' this.Frame.Height - 40' 120' 37);
Magic Number,SignaturePad.iOS,SignatureServiceView,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceView.cs,LayoutSubviews,The following statement contains a magic number: this.CancelButton.Frame = new CGRect(this.Frame.Width - 130' this.Frame.Height - 40' 120' 37);
Magic Number,SignaturePad.iOS,SignatureServiceView,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceView.cs,LayoutSubviews,The following statement contains a magic number: this.CancelButton.Frame = new CGRect(this.Frame.Width - 130' this.Frame.Height - 40' 120' 37);
Magic Number,SignaturePad.iOS,SignatureServiceView,D:\research\architectureSmells\repos\aritchie_acr-xamarin-forms\Acr.XamForms.SignaturePad.iOS\SignatureServiceView.cs,LayoutSubviews,The following statement contains a magic number: this.CancelButton.Frame = new CGRect(this.Frame.Width - 130' this.Frame.Height - 40' 120' 37);
