Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
BCSARUnpacker,4,2,0,0,1,113,6,0,0,0.62,1,1
BLZCoderUI,2,2,0,0,1,42,6,0,0,0.5,2,1
ovl9tableview,2,4,0,0,1,94,8,0,0,0.5,2,1
FillGrid,2,6,0,0,0,89,15,0,0,0,2,6
ImageBoxUtilities,0,2,0,0,0,27,6,0,0,0,2,1
CheckMagicHeaderID,0,1,0,0,1,12,1,0,0,0,0,5
LoadCurrentData,0,6,0,0,6,99,32,0,0,0,2,0
vEnum,0,0,0,0,0,48,0,0,0,0,0,5
About,0,1,0,0,1,9,1,0,0,0,1,1
Information,0,1,0,0,1,8,1,0,0,0,0,1
Options,0,1,0,0,1,7,1,0,0,0,0,0
NarcExplorer,2,4,0,0,1,57,8,0,0,0.38,2,1
ICommonFormLayout,0,9,0,0,0,12,9,6,0,0,0,0
ICommonHiddenGrottoLayout,0,7,0,0,0,10,7,1,0,0,2,0
IGridFormLayout,0,4,0,0,0,7,4,4,0,0,0,0
AccessChecker,0,1,0,0,0,14,1,0,0,0,0,1
vEvolutions,16,26,0,0,14,674,154,0,1,0.86,11,1
vExperience,5,16,0,2,14,163,25,0,1,0.74,8,1
vMVSt,13,27,0,0,14,518,165,0,1,0.86,14,1
vHG,6,34,0,3,17,520,102,0,1,0.87,11,1
vInGameTrade,4,10,0,2,10,104,17,0,1,0.82,5,1
vPWTSB,0,1,0,0,1,7,1,0,0,0,0,0
vWildEx4,6,16,0,3,14,158,24,0,1,0.76,9,1
MainForm,0,26,0,0,2,169,36,0,0,0,13,1
Program,2,1,0,2,0,23,2,0,0,0,5,6
Resources,2,1,24,0,0,261,1,0,0,0,0,0
Settings,1,0,1,0,0,11,0,0,0,0,0,0
