Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Avalonia.AndroidTestApplication,Resource,D:\research\architectureSmells\repos\grokys_Perspex\src\Android\Avalonia.AndroidTestApplication\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Avalonia.Android.Resource.String.ApplicationName = global::Avalonia.AndroidTestApplication.Resource.String.ApplicationName; " is 131.
Magic Number,Avalonia.AndroidTestApplication,App,D:\research\architectureSmells\repos\grokys_Perspex\src\Android\Avalonia.AndroidTestApplication\MainActivity.cs,CreateSimpleWindow,The following statement contains a magic number: ContentControl window = new ContentControl()              {                  Background = Brushes.Red'                  Content = new StackPanel                  {                      Margin = new Thickness(30)'                      Background = Brushes.Yellow'                      Children =                      {                          new TextBlock                          {                              Text = "TEXT BLOCK"'                              Width = 300'                              Height = 40'                              Background = Brushes.White'                              Foreground = Brushes.Black                          }'                            new Button                          {                              Content = "BUTTON"'                              Width = 150'                              Height = 40'                              Background = Brushes.LightGreen'                              Foreground = Brushes.Black                          }                        }                  }              };
Magic Number,Avalonia.AndroidTestApplication,App,D:\research\architectureSmells\repos\grokys_Perspex\src\Android\Avalonia.AndroidTestApplication\MainActivity.cs,CreateSimpleWindow,The following statement contains a magic number: ContentControl window = new ContentControl()              {                  Background = Brushes.Red'                  Content = new StackPanel                  {                      Margin = new Thickness(30)'                      Background = Brushes.Yellow'                      Children =                      {                          new TextBlock                          {                              Text = "TEXT BLOCK"'                              Width = 300'                              Height = 40'                              Background = Brushes.White'                              Foreground = Brushes.Black                          }'                            new Button                          {                              Content = "BUTTON"'                              Width = 150'                              Height = 40'                              Background = Brushes.LightGreen'                              Foreground = Brushes.Black                          }                        }                  }              };
Magic Number,Avalonia.AndroidTestApplication,App,D:\research\architectureSmells\repos\grokys_Perspex\src\Android\Avalonia.AndroidTestApplication\MainActivity.cs,CreateSimpleWindow,The following statement contains a magic number: ContentControl window = new ContentControl()              {                  Background = Brushes.Red'                  Content = new StackPanel                  {                      Margin = new Thickness(30)'                      Background = Brushes.Yellow'                      Children =                      {                          new TextBlock                          {                              Text = "TEXT BLOCK"'                              Width = 300'                              Height = 40'                              Background = Brushes.White'                              Foreground = Brushes.Black                          }'                            new Button                          {                              Content = "BUTTON"'                              Width = 150'                              Height = 40'                              Background = Brushes.LightGreen'                              Foreground = Brushes.Black                          }                        }                  }              };
Magic Number,Avalonia.AndroidTestApplication,App,D:\research\architectureSmells\repos\grokys_Perspex\src\Android\Avalonia.AndroidTestApplication\MainActivity.cs,CreateSimpleWindow,The following statement contains a magic number: ContentControl window = new ContentControl()              {                  Background = Brushes.Red'                  Content = new StackPanel                  {                      Margin = new Thickness(30)'                      Background = Brushes.Yellow'                      Children =                      {                          new TextBlock                          {                              Text = "TEXT BLOCK"'                              Width = 300'                              Height = 40'                              Background = Brushes.White'                              Foreground = Brushes.Black                          }'                            new Button                          {                              Content = "BUTTON"'                              Width = 150'                              Height = 40'                              Background = Brushes.LightGreen'                              Foreground = Brushes.Black                          }                        }                  }              };
Magic Number,Avalonia.AndroidTestApplication,App,D:\research\architectureSmells\repos\grokys_Perspex\src\Android\Avalonia.AndroidTestApplication\MainActivity.cs,CreateSimpleWindow,The following statement contains a magic number: ContentControl window = new ContentControl()              {                  Background = Brushes.Red'                  Content = new StackPanel                  {                      Margin = new Thickness(30)'                      Background = Brushes.Yellow'                      Children =                      {                          new TextBlock                          {                              Text = "TEXT BLOCK"'                              Width = 300'                              Height = 40'                              Background = Brushes.White'                              Foreground = Brushes.Black                          }'                            new Button                          {                              Content = "BUTTON"'                              Width = 150'                              Height = 40'                              Background = Brushes.LightGreen'                              Foreground = Brushes.Black                          }                        }                  }              };
