Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,Avalonia.Diagnostics,Debug,C:\repos\grokys_Perspex\src\Avalonia.Diagnostics\Debug.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Avalonia.Diagnostics,DevToolsExtensions,C:\repos\grokys_Perspex\src\Avalonia.Diagnostics\DevTools.xaml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,Avalonia.Diagnostics,DevToolsExtensions,C:\repos\grokys_Perspex\src\Avalonia.Diagnostics\DevTools.xaml.cs,The tool detected the smell in this class because two or more abstractions have identical names. The abstractions with identical names are: Avalonia.Diagnostics.DevToolsExtensions' Avalonia.DevToolsExtensions
Duplicate Abstraction,Avalonia.Diagnostics,DevTools,C:\repos\grokys_Perspex\src\Avalonia.Diagnostics\DevTools.xaml.cs,The tool detected the smell in this class because two or more abstractions have identical names. The abstractions with identical names are: Avalonia.Diagnostics.DevTools' Avalonia.DevTools
Unutilized Abstraction,Avalonia,DevToolsExtensions,C:\repos\grokys_Perspex\src\Avalonia.Diagnostics\DevTools.xaml.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Avalonia.Diagnostics.Views,PropertyChangedExtenions,C:\repos\grokys_Perspex\src\Avalonia.Diagnostics\Views\PropertyChangedExtenions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
