Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Xpand.ExpressApp.HtmlPropertyEditor.Web.DialogForms,HtmlEditorCustomDialogTemlate,D:\research\architectureSmells\repos\expand_eXpand\Xpand\Xpand.ExpressApp.Modules\HtmlPropertyEditor.Web\DialogForms\HtmlEditorCustomDialogTemlate.cs,Render,The length of the statement  "            tableCell.ClientSideEvents.Click = typeof(HtmlEditorCustomDialogTemlate).GetDxScriptFromResource("OnOkButtonClick_InsertFileForm.js"); " is 134.
Long Statement,Xpand.ExpressApp.HtmlPropertyEditor.Web.DialogForms,HtmlEditorCustomDialogTemlate,D:\research\architectureSmells\repos\expand_eXpand\Xpand\Xpand.ExpressApp.Modules\HtmlPropertyEditor.Web\DialogForms\HtmlEditorCustomDialogTemlate.cs,OnInit,The length of the statement  "            _uploadControl = new ASPxUploadControl { ID = "uploadFile"' Width = Unit.Pixel(300)' ClientInstanceName = "_dxeUplFile" }; " is 122.
Long Statement,Xpand.ExpressApp.HtmlPropertyEditor.Web.DialogForms,HtmlEditorCustomDialogTemlate,D:\research\architectureSmells\repos\expand_eXpand\Xpand\Xpand.ExpressApp.Modules\HtmlPropertyEditor.Web\DialogForms\HtmlEditorCustomDialogTemlate.cs,OnInit,The length of the statement  "            _uploadControl.ClientSideEvents.FileUploadComplete = typeof(HtmlEditorCustomDialogTemlate).GetDxScriptFromResource("EditorFileUploadComplete.js"); " is 146.
Long Statement,Xpand.ExpressApp.HtmlPropertyEditor.Web.DialogForms,HtmlEditorCustomDialogTemlate,D:\research\architectureSmells\repos\expand_eXpand\Xpand\Xpand.ExpressApp.Modules\HtmlPropertyEditor.Web\DialogForms\HtmlEditorCustomDialogTemlate.cs,HasFile,The length of the statement  "            return _uploadControl.UploadedFiles != null && _uploadControl.UploadedFiles.Length > 0 && _uploadControl.UploadedFiles[0].FileName != ""; " is 137.
Long Statement,Xpand.ExpressApp.HtmlPropertyEditor.Web.DialogForms,HtmlEditorCustomDialogTemlate,D:\research\architectureSmells\repos\expand_eXpand\Xpand\Xpand.ExpressApp.Modules\HtmlPropertyEditor.Web\DialogForms\HtmlEditorCustomDialogTemlate.cs,UploadControlOnFileUploadComplete,The length of the statement  "                args.CallbackData = SaveUploadFile() + "'" + Path.GetFileNameWithoutExtension(_uploadControl.UploadedFiles[0].FileName); " is 120.
Magic Number,Xpand.ExpressApp.HtmlPropertyEditor.Web.DialogForms,HtmlEditorCustomDialogTemlate,D:\research\architectureSmells\repos\expand_eXpand\Xpand\Xpand.ExpressApp.Modules\HtmlPropertyEditor.Web\DialogForms\HtmlEditorCustomDialogTemlate.cs,OnInit,The following statement contains a magic number: _uploadControl = new ASPxUploadControl { ID = "uploadFile"' Width = Unit.Pixel(300)' ClientInstanceName = "_dxeUplFile" };
