Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Xpand.ExpressApp.Scheduler.Web.Controllers,SchedulerMenuItemAdapterController,D:\research\architectureSmells\repos\expand_eXpand\Xpand\Xpand.ExpressApp.Modules\Scheduler.Web\Controllers\SchedulerModelAdapterController.cs,ExtendModelInterfaces,The length of the statement  "//            var assembly = interfaceBuilder.Build(new List<InterfaceBuilderData> { builderData }'GetPath(componentType.Name)); " is 128.
Long Statement,Xpand.ExpressApp.Scheduler.Web.Controllers,WebDashboardRefreshController,D:\research\architectureSmells\repos\expand_eXpand\Xpand\Xpand.ExpressApp.Modules\Scheduler.Web\Controllers\WebDashboardRefreshController.cs,WebDataSource,The length of the statement  "            return new WebDataSource(ObjectSpace' Application.TypesInfo.FindTypeInfo(resourceType)' ObjectSpace.CreateCollection(resourceType' criteria)); " is 142.
Long Statement,Xpand.ExpressApp.Scheduler.Web.Controllers,WebDashboardRefreshController,D:\research\architectureSmells\repos\expand_eXpand\Xpand\Xpand.ExpressApp.Modules\Scheduler.Web\Controllers\WebDashboardRefreshController.cs,GetViewById,The length of the statement  "            return View.Items.OfType<DashboardViewItem>().Select(vi => vi.InnerView).FirstOrDefault(v => v != null && v.Id == id) as ListView; " is 130.
Magic Number,Xpand.ExpressApp.Scheduler.Web.Reminders,WebDurationPropertyEditor,D:\research\architectureSmells\repos\expand_eXpand\Xpand\Xpand.ExpressApp.Modules\Scheduler.Web\Reminders\DurationPropertyEditor.cs,InitDurationCombo,The following statement contains a magic number: cbSnooze.SelectedIndex = 4;
