Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Testing,Program,C:\research\architectureSmells\repos\NickStrupat_EntityFramework.Triggers\test\Testing\Program.cs,Main,The length of the statement  "				triggers.Inserting.Add<(Foo Foo' Bar Bar)>(entry => Console.WriteLine(entry.Service.Foo.Count + " " + entry.Service.Bar.Count));" is 128.
Long Statement,Testing,Program,C:\research\architectureSmells\repos\NickStrupat_EntityFramework.Triggers\test\Testing\Program.cs,Main,The length of the statement  "				triggers.Updating.Add<(Foo Foo' Bar Bar)>(entry => Console.WriteLine(entry.Service.Foo.Count + " " + entry.Service.Bar.Count));" is 127.
