Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Yatse2SetupManager,MainWindow,D:\research\architectureSmells\repos1\Tolriq_Yatse2\Yatse2SetupManager\MainWindow.xaml.cs,Connect,Cyclomatic complexity of the method is 11
Long Statement,Yatse2SetupManager,MainWindow,D:\research\architectureSmells\repos1\Tolriq_Yatse2\Yatse2SetupManager\MainWindow.xaml.cs,btn_AddVersion_Click,The length of the statement  "            var res = MessageBox.Show("Will add build : "  + build + " to repository : " + cb_Platform.SelectedItem'"Yatse2SetupManager"'MessageBoxButton.YesNo); " is 149.
Long Statement,Yatse2SetupManager,MainWindow,D:\research\architectureSmells\repos1\Tolriq_Yatse2\Yatse2SetupManager\MainWindow.xaml.cs,btn_AddBeta_Click,The length of the statement  "            var res = MessageBox.Show("Will add build : " + build + " BETA ! to repository : " + cb_Platform.SelectedItem' "Yatse2SetupManager"' MessageBoxButton.YesNo); " is 157.
Long Statement,Yatse2SetupManager,MainWindow,D:\research\architectureSmells\repos1\Tolriq_Yatse2\Yatse2SetupManager\MainWindow.xaml.cs,Connect,The length of the statement  "            this.cb_Platform.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.cb_Platform_SelectionChanged); " is 129.
Long Statement,Yatse2SetupManager,MainWindow,D:\research\architectureSmells\repos1\Tolriq_Yatse2\Yatse2SetupManager\MainWindow.xaml.cs,Connect,The length of the statement  "            this.lst_Versions.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.lst_Versions_SelectionChanged); " is 131.
Magic Number,Yatse2SetupManager,MainWindow,D:\research\architectureSmells\repos1\Tolriq_Yatse2\Yatse2SetupManager\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.btn_AddVersion = ((System.Windows.Controls.Button)(target));                            #line 23 "..\..\..\MainWindow.xaml"              this.btn_AddVersion.Click += new System.Windows.RoutedEventHandler(this.btn_AddVersion_Click);                            #line default              #line hidden              return;              case 2:              this.cb_Platform = ((System.Windows.Controls.ComboBox)(target));                            #line 24 "..\..\..\MainWindow.xaml"              this.cb_Platform.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.cb_Platform_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.lst_Versions = ((System.Windows.Controls.ListBox)(target));                            #line 26 "..\..\..\MainWindow.xaml"              this.lst_Versions.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.lst_Versions_SelectionChanged);                            #line default              #line hidden              return;              case 4:              this.txb_Repository = ((System.Windows.Controls.TextBox)(target));              return;              case 5:              this.lst_FileList = ((System.Windows.Controls.ListBox)(target));              return;              case 6:              this.btn_Delete = ((System.Windows.Controls.Button)(target));                            #line 33 "..\..\..\MainWindow.xaml"              this.btn_Delete.Click += new System.Windows.RoutedEventHandler(this.btn_Delete_Click);                            #line default              #line hidden              return;              case 7:              this.txb_WhatsNew = ((System.Windows.Controls.TextBox)(target));              return;              case 8:              this.txb_SourceDir = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.btn_LoadRepository = ((System.Windows.Controls.Button)(target));                            #line 39 "..\..\..\MainWindow.xaml"              this.btn_LoadRepository.Click += new System.Windows.RoutedEventHandler(this.btn_LoadRepository_Click);                            #line default              #line hidden              return;              case 10:              this.btn_UpdateNews = ((System.Windows.Controls.Button)(target));                            #line 40 "..\..\..\MainWindow.xaml"              this.btn_UpdateNews.Click += new System.Windows.RoutedEventHandler(this.btn_UpdateNews_Click);                            #line default              #line hidden              return;              case 11:              this.btn_AddBeta = ((System.Windows.Controls.Button)(target));                            #line 41 "..\..\..\MainWindow.xaml"              this.btn_AddBeta.Click += new System.Windows.RoutedEventHandler(this.btn_AddBeta_Click);                            #line default              #line hidden              return;              }
Magic Number,Yatse2SetupManager,MainWindow,D:\research\architectureSmells\repos1\Tolriq_Yatse2\Yatse2SetupManager\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.btn_AddVersion = ((System.Windows.Controls.Button)(target));                            #line 23 "..\..\..\MainWindow.xaml"              this.btn_AddVersion.Click += new System.Windows.RoutedEventHandler(this.btn_AddVersion_Click);                            #line default              #line hidden              return;              case 2:              this.cb_Platform = ((System.Windows.Controls.ComboBox)(target));                            #line 24 "..\..\..\MainWindow.xaml"              this.cb_Platform.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.cb_Platform_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.lst_Versions = ((System.Windows.Controls.ListBox)(target));                            #line 26 "..\..\..\MainWindow.xaml"              this.lst_Versions.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.lst_Versions_SelectionChanged);                            #line default              #line hidden              return;              case 4:              this.txb_Repository = ((System.Windows.Controls.TextBox)(target));              return;              case 5:              this.lst_FileList = ((System.Windows.Controls.ListBox)(target));              return;              case 6:              this.btn_Delete = ((System.Windows.Controls.Button)(target));                            #line 33 "..\..\..\MainWindow.xaml"              this.btn_Delete.Click += new System.Windows.RoutedEventHandler(this.btn_Delete_Click);                            #line default              #line hidden              return;              case 7:              this.txb_WhatsNew = ((System.Windows.Controls.TextBox)(target));              return;              case 8:              this.txb_SourceDir = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.btn_LoadRepository = ((System.Windows.Controls.Button)(target));                            #line 39 "..\..\..\MainWindow.xaml"              this.btn_LoadRepository.Click += new System.Windows.RoutedEventHandler(this.btn_LoadRepository_Click);                            #line default              #line hidden              return;              case 10:              this.btn_UpdateNews = ((System.Windows.Controls.Button)(target));                            #line 40 "..\..\..\MainWindow.xaml"              this.btn_UpdateNews.Click += new System.Windows.RoutedEventHandler(this.btn_UpdateNews_Click);                            #line default              #line hidden              return;              case 11:              this.btn_AddBeta = ((System.Windows.Controls.Button)(target));                            #line 41 "..\..\..\MainWindow.xaml"              this.btn_AddBeta.Click += new System.Windows.RoutedEventHandler(this.btn_AddBeta_Click);                            #line default              #line hidden              return;              }
Magic Number,Yatse2SetupManager,MainWindow,D:\research\architectureSmells\repos1\Tolriq_Yatse2\Yatse2SetupManager\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.btn_AddVersion = ((System.Windows.Controls.Button)(target));                            #line 23 "..\..\..\MainWindow.xaml"              this.btn_AddVersion.Click += new System.Windows.RoutedEventHandler(this.btn_AddVersion_Click);                            #line default              #line hidden              return;              case 2:              this.cb_Platform = ((System.Windows.Controls.ComboBox)(target));                            #line 24 "..\..\..\MainWindow.xaml"              this.cb_Platform.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.cb_Platform_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.lst_Versions = ((System.Windows.Controls.ListBox)(target));                            #line 26 "..\..\..\MainWindow.xaml"              this.lst_Versions.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.lst_Versions_SelectionChanged);                            #line default              #line hidden              return;              case 4:              this.txb_Repository = ((System.Windows.Controls.TextBox)(target));              return;              case 5:              this.lst_FileList = ((System.Windows.Controls.ListBox)(target));              return;              case 6:              this.btn_Delete = ((System.Windows.Controls.Button)(target));                            #line 33 "..\..\..\MainWindow.xaml"              this.btn_Delete.Click += new System.Windows.RoutedEventHandler(this.btn_Delete_Click);                            #line default              #line hidden              return;              case 7:              this.txb_WhatsNew = ((System.Windows.Controls.TextBox)(target));              return;              case 8:              this.txb_SourceDir = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.btn_LoadRepository = ((System.Windows.Controls.Button)(target));                            #line 39 "..\..\..\MainWindow.xaml"              this.btn_LoadRepository.Click += new System.Windows.RoutedEventHandler(this.btn_LoadRepository_Click);                            #line default              #line hidden              return;              case 10:              this.btn_UpdateNews = ((System.Windows.Controls.Button)(target));                            #line 40 "..\..\..\MainWindow.xaml"              this.btn_UpdateNews.Click += new System.Windows.RoutedEventHandler(this.btn_UpdateNews_Click);                            #line default              #line hidden              return;              case 11:              this.btn_AddBeta = ((System.Windows.Controls.Button)(target));                            #line 41 "..\..\..\MainWindow.xaml"              this.btn_AddBeta.Click += new System.Windows.RoutedEventHandler(this.btn_AddBeta_Click);                            #line default              #line hidden              return;              }
Magic Number,Yatse2SetupManager,MainWindow,D:\research\architectureSmells\repos1\Tolriq_Yatse2\Yatse2SetupManager\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.btn_AddVersion = ((System.Windows.Controls.Button)(target));                            #line 23 "..\..\..\MainWindow.xaml"              this.btn_AddVersion.Click += new System.Windows.RoutedEventHandler(this.btn_AddVersion_Click);                            #line default              #line hidden              return;              case 2:              this.cb_Platform = ((System.Windows.Controls.ComboBox)(target));                            #line 24 "..\..\..\MainWindow.xaml"              this.cb_Platform.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.cb_Platform_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.lst_Versions = ((System.Windows.Controls.ListBox)(target));                            #line 26 "..\..\..\MainWindow.xaml"              this.lst_Versions.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.lst_Versions_SelectionChanged);                            #line default              #line hidden              return;              case 4:              this.txb_Repository = ((System.Windows.Controls.TextBox)(target));              return;              case 5:              this.lst_FileList = ((System.Windows.Controls.ListBox)(target));              return;              case 6:              this.btn_Delete = ((System.Windows.Controls.Button)(target));                            #line 33 "..\..\..\MainWindow.xaml"              this.btn_Delete.Click += new System.Windows.RoutedEventHandler(this.btn_Delete_Click);                            #line default              #line hidden              return;              case 7:              this.txb_WhatsNew = ((System.Windows.Controls.TextBox)(target));              return;              case 8:              this.txb_SourceDir = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.btn_LoadRepository = ((System.Windows.Controls.Button)(target));                            #line 39 "..\..\..\MainWindow.xaml"              this.btn_LoadRepository.Click += new System.Windows.RoutedEventHandler(this.btn_LoadRepository_Click);                            #line default              #line hidden              return;              case 10:              this.btn_UpdateNews = ((System.Windows.Controls.Button)(target));                            #line 40 "..\..\..\MainWindow.xaml"              this.btn_UpdateNews.Click += new System.Windows.RoutedEventHandler(this.btn_UpdateNews_Click);                            #line default              #line hidden              return;              case 11:              this.btn_AddBeta = ((System.Windows.Controls.Button)(target));                            #line 41 "..\..\..\MainWindow.xaml"              this.btn_AddBeta.Click += new System.Windows.RoutedEventHandler(this.btn_AddBeta_Click);                            #line default              #line hidden              return;              }
Magic Number,Yatse2SetupManager,MainWindow,D:\research\architectureSmells\repos1\Tolriq_Yatse2\Yatse2SetupManager\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.btn_AddVersion = ((System.Windows.Controls.Button)(target));                            #line 23 "..\..\..\MainWindow.xaml"              this.btn_AddVersion.Click += new System.Windows.RoutedEventHandler(this.btn_AddVersion_Click);                            #line default              #line hidden              return;              case 2:              this.cb_Platform = ((System.Windows.Controls.ComboBox)(target));                            #line 24 "..\..\..\MainWindow.xaml"              this.cb_Platform.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.cb_Platform_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.lst_Versions = ((System.Windows.Controls.ListBox)(target));                            #line 26 "..\..\..\MainWindow.xaml"              this.lst_Versions.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.lst_Versions_SelectionChanged);                            #line default              #line hidden              return;              case 4:              this.txb_Repository = ((System.Windows.Controls.TextBox)(target));              return;              case 5:              this.lst_FileList = ((System.Windows.Controls.ListBox)(target));              return;              case 6:              this.btn_Delete = ((System.Windows.Controls.Button)(target));                            #line 33 "..\..\..\MainWindow.xaml"              this.btn_Delete.Click += new System.Windows.RoutedEventHandler(this.btn_Delete_Click);                            #line default              #line hidden              return;              case 7:              this.txb_WhatsNew = ((System.Windows.Controls.TextBox)(target));              return;              case 8:              this.txb_SourceDir = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.btn_LoadRepository = ((System.Windows.Controls.Button)(target));                            #line 39 "..\..\..\MainWindow.xaml"              this.btn_LoadRepository.Click += new System.Windows.RoutedEventHandler(this.btn_LoadRepository_Click);                            #line default              #line hidden              return;              case 10:              this.btn_UpdateNews = ((System.Windows.Controls.Button)(target));                            #line 40 "..\..\..\MainWindow.xaml"              this.btn_UpdateNews.Click += new System.Windows.RoutedEventHandler(this.btn_UpdateNews_Click);                            #line default              #line hidden              return;              case 11:              this.btn_AddBeta = ((System.Windows.Controls.Button)(target));                            #line 41 "..\..\..\MainWindow.xaml"              this.btn_AddBeta.Click += new System.Windows.RoutedEventHandler(this.btn_AddBeta_Click);                            #line default              #line hidden              return;              }
Magic Number,Yatse2SetupManager,MainWindow,D:\research\architectureSmells\repos1\Tolriq_Yatse2\Yatse2SetupManager\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.btn_AddVersion = ((System.Windows.Controls.Button)(target));                            #line 23 "..\..\..\MainWindow.xaml"              this.btn_AddVersion.Click += new System.Windows.RoutedEventHandler(this.btn_AddVersion_Click);                            #line default              #line hidden              return;              case 2:              this.cb_Platform = ((System.Windows.Controls.ComboBox)(target));                            #line 24 "..\..\..\MainWindow.xaml"              this.cb_Platform.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.cb_Platform_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.lst_Versions = ((System.Windows.Controls.ListBox)(target));                            #line 26 "..\..\..\MainWindow.xaml"              this.lst_Versions.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.lst_Versions_SelectionChanged);                            #line default              #line hidden              return;              case 4:              this.txb_Repository = ((System.Windows.Controls.TextBox)(target));              return;              case 5:              this.lst_FileList = ((System.Windows.Controls.ListBox)(target));              return;              case 6:              this.btn_Delete = ((System.Windows.Controls.Button)(target));                            #line 33 "..\..\..\MainWindow.xaml"              this.btn_Delete.Click += new System.Windows.RoutedEventHandler(this.btn_Delete_Click);                            #line default              #line hidden              return;              case 7:              this.txb_WhatsNew = ((System.Windows.Controls.TextBox)(target));              return;              case 8:              this.txb_SourceDir = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.btn_LoadRepository = ((System.Windows.Controls.Button)(target));                            #line 39 "..\..\..\MainWindow.xaml"              this.btn_LoadRepository.Click += new System.Windows.RoutedEventHandler(this.btn_LoadRepository_Click);                            #line default              #line hidden              return;              case 10:              this.btn_UpdateNews = ((System.Windows.Controls.Button)(target));                            #line 40 "..\..\..\MainWindow.xaml"              this.btn_UpdateNews.Click += new System.Windows.RoutedEventHandler(this.btn_UpdateNews_Click);                            #line default              #line hidden              return;              case 11:              this.btn_AddBeta = ((System.Windows.Controls.Button)(target));                            #line 41 "..\..\..\MainWindow.xaml"              this.btn_AddBeta.Click += new System.Windows.RoutedEventHandler(this.btn_AddBeta_Click);                            #line default              #line hidden              return;              }
Magic Number,Yatse2SetupManager,MainWindow,D:\research\architectureSmells\repos1\Tolriq_Yatse2\Yatse2SetupManager\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.btn_AddVersion = ((System.Windows.Controls.Button)(target));                            #line 23 "..\..\..\MainWindow.xaml"              this.btn_AddVersion.Click += new System.Windows.RoutedEventHandler(this.btn_AddVersion_Click);                            #line default              #line hidden              return;              case 2:              this.cb_Platform = ((System.Windows.Controls.ComboBox)(target));                            #line 24 "..\..\..\MainWindow.xaml"              this.cb_Platform.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.cb_Platform_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.lst_Versions = ((System.Windows.Controls.ListBox)(target));                            #line 26 "..\..\..\MainWindow.xaml"              this.lst_Versions.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.lst_Versions_SelectionChanged);                            #line default              #line hidden              return;              case 4:              this.txb_Repository = ((System.Windows.Controls.TextBox)(target));              return;              case 5:              this.lst_FileList = ((System.Windows.Controls.ListBox)(target));              return;              case 6:              this.btn_Delete = ((System.Windows.Controls.Button)(target));                            #line 33 "..\..\..\MainWindow.xaml"              this.btn_Delete.Click += new System.Windows.RoutedEventHandler(this.btn_Delete_Click);                            #line default              #line hidden              return;              case 7:              this.txb_WhatsNew = ((System.Windows.Controls.TextBox)(target));              return;              case 8:              this.txb_SourceDir = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.btn_LoadRepository = ((System.Windows.Controls.Button)(target));                            #line 39 "..\..\..\MainWindow.xaml"              this.btn_LoadRepository.Click += new System.Windows.RoutedEventHandler(this.btn_LoadRepository_Click);                            #line default              #line hidden              return;              case 10:              this.btn_UpdateNews = ((System.Windows.Controls.Button)(target));                            #line 40 "..\..\..\MainWindow.xaml"              this.btn_UpdateNews.Click += new System.Windows.RoutedEventHandler(this.btn_UpdateNews_Click);                            #line default              #line hidden              return;              case 11:              this.btn_AddBeta = ((System.Windows.Controls.Button)(target));                            #line 41 "..\..\..\MainWindow.xaml"              this.btn_AddBeta.Click += new System.Windows.RoutedEventHandler(this.btn_AddBeta_Click);                            #line default              #line hidden              return;              }
Magic Number,Yatse2SetupManager,MainWindow,D:\research\architectureSmells\repos1\Tolriq_Yatse2\Yatse2SetupManager\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.btn_AddVersion = ((System.Windows.Controls.Button)(target));                            #line 23 "..\..\..\MainWindow.xaml"              this.btn_AddVersion.Click += new System.Windows.RoutedEventHandler(this.btn_AddVersion_Click);                            #line default              #line hidden              return;              case 2:              this.cb_Platform = ((System.Windows.Controls.ComboBox)(target));                            #line 24 "..\..\..\MainWindow.xaml"              this.cb_Platform.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.cb_Platform_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.lst_Versions = ((System.Windows.Controls.ListBox)(target));                            #line 26 "..\..\..\MainWindow.xaml"              this.lst_Versions.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.lst_Versions_SelectionChanged);                            #line default              #line hidden              return;              case 4:              this.txb_Repository = ((System.Windows.Controls.TextBox)(target));              return;              case 5:              this.lst_FileList = ((System.Windows.Controls.ListBox)(target));              return;              case 6:              this.btn_Delete = ((System.Windows.Controls.Button)(target));                            #line 33 "..\..\..\MainWindow.xaml"              this.btn_Delete.Click += new System.Windows.RoutedEventHandler(this.btn_Delete_Click);                            #line default              #line hidden              return;              case 7:              this.txb_WhatsNew = ((System.Windows.Controls.TextBox)(target));              return;              case 8:              this.txb_SourceDir = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.btn_LoadRepository = ((System.Windows.Controls.Button)(target));                            #line 39 "..\..\..\MainWindow.xaml"              this.btn_LoadRepository.Click += new System.Windows.RoutedEventHandler(this.btn_LoadRepository_Click);                            #line default              #line hidden              return;              case 10:              this.btn_UpdateNews = ((System.Windows.Controls.Button)(target));                            #line 40 "..\..\..\MainWindow.xaml"              this.btn_UpdateNews.Click += new System.Windows.RoutedEventHandler(this.btn_UpdateNews_Click);                            #line default              #line hidden              return;              case 11:              this.btn_AddBeta = ((System.Windows.Controls.Button)(target));                            #line 41 "..\..\..\MainWindow.xaml"              this.btn_AddBeta.Click += new System.Windows.RoutedEventHandler(this.btn_AddBeta_Click);                            #line default              #line hidden              return;              }
Magic Number,Yatse2SetupManager,MainWindow,D:\research\architectureSmells\repos1\Tolriq_Yatse2\Yatse2SetupManager\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.btn_AddVersion = ((System.Windows.Controls.Button)(target));                            #line 23 "..\..\..\MainWindow.xaml"              this.btn_AddVersion.Click += new System.Windows.RoutedEventHandler(this.btn_AddVersion_Click);                            #line default              #line hidden              return;              case 2:              this.cb_Platform = ((System.Windows.Controls.ComboBox)(target));                            #line 24 "..\..\..\MainWindow.xaml"              this.cb_Platform.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.cb_Platform_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.lst_Versions = ((System.Windows.Controls.ListBox)(target));                            #line 26 "..\..\..\MainWindow.xaml"              this.lst_Versions.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.lst_Versions_SelectionChanged);                            #line default              #line hidden              return;              case 4:              this.txb_Repository = ((System.Windows.Controls.TextBox)(target));              return;              case 5:              this.lst_FileList = ((System.Windows.Controls.ListBox)(target));              return;              case 6:              this.btn_Delete = ((System.Windows.Controls.Button)(target));                            #line 33 "..\..\..\MainWindow.xaml"              this.btn_Delete.Click += new System.Windows.RoutedEventHandler(this.btn_Delete_Click);                            #line default              #line hidden              return;              case 7:              this.txb_WhatsNew = ((System.Windows.Controls.TextBox)(target));              return;              case 8:              this.txb_SourceDir = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.btn_LoadRepository = ((System.Windows.Controls.Button)(target));                            #line 39 "..\..\..\MainWindow.xaml"              this.btn_LoadRepository.Click += new System.Windows.RoutedEventHandler(this.btn_LoadRepository_Click);                            #line default              #line hidden              return;              case 10:              this.btn_UpdateNews = ((System.Windows.Controls.Button)(target));                            #line 40 "..\..\..\MainWindow.xaml"              this.btn_UpdateNews.Click += new System.Windows.RoutedEventHandler(this.btn_UpdateNews_Click);                            #line default              #line hidden              return;              case 11:              this.btn_AddBeta = ((System.Windows.Controls.Button)(target));                            #line 41 "..\..\..\MainWindow.xaml"              this.btn_AddBeta.Click += new System.Windows.RoutedEventHandler(this.btn_AddBeta_Click);                            #line default              #line hidden              return;              }
Magic Number,Yatse2SetupManager,MainWindow,D:\research\architectureSmells\repos1\Tolriq_Yatse2\Yatse2SetupManager\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.btn_AddVersion = ((System.Windows.Controls.Button)(target));                            #line 23 "..\..\..\MainWindow.xaml"              this.btn_AddVersion.Click += new System.Windows.RoutedEventHandler(this.btn_AddVersion_Click);                            #line default              #line hidden              return;              case 2:              this.cb_Platform = ((System.Windows.Controls.ComboBox)(target));                            #line 24 "..\..\..\MainWindow.xaml"              this.cb_Platform.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.cb_Platform_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.lst_Versions = ((System.Windows.Controls.ListBox)(target));                            #line 26 "..\..\..\MainWindow.xaml"              this.lst_Versions.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.lst_Versions_SelectionChanged);                            #line default              #line hidden              return;              case 4:              this.txb_Repository = ((System.Windows.Controls.TextBox)(target));              return;              case 5:              this.lst_FileList = ((System.Windows.Controls.ListBox)(target));              return;              case 6:              this.btn_Delete = ((System.Windows.Controls.Button)(target));                            #line 33 "..\..\..\MainWindow.xaml"              this.btn_Delete.Click += new System.Windows.RoutedEventHandler(this.btn_Delete_Click);                            #line default              #line hidden              return;              case 7:              this.txb_WhatsNew = ((System.Windows.Controls.TextBox)(target));              return;              case 8:              this.txb_SourceDir = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.btn_LoadRepository = ((System.Windows.Controls.Button)(target));                            #line 39 "..\..\..\MainWindow.xaml"              this.btn_LoadRepository.Click += new System.Windows.RoutedEventHandler(this.btn_LoadRepository_Click);                            #line default              #line hidden              return;              case 10:              this.btn_UpdateNews = ((System.Windows.Controls.Button)(target));                            #line 40 "..\..\..\MainWindow.xaml"              this.btn_UpdateNews.Click += new System.Windows.RoutedEventHandler(this.btn_UpdateNews_Click);                            #line default              #line hidden              return;              case 11:              this.btn_AddBeta = ((System.Windows.Controls.Button)(target));                            #line 41 "..\..\..\MainWindow.xaml"              this.btn_AddBeta.Click += new System.Windows.RoutedEventHandler(this.btn_AddBeta_Click);                            #line default              #line hidden              return;              }
Missing Default,Yatse2SetupManager,MainWindow,D:\research\architectureSmells\repos1\Tolriq_Yatse2\Yatse2SetupManager\MainWindow.xaml.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:              this.btn_AddVersion = ((System.Windows.Controls.Button)(target));                            #line 23 "..\..\..\MainWindow.xaml"              this.btn_AddVersion.Click += new System.Windows.RoutedEventHandler(this.btn_AddVersion_Click);                            #line default              #line hidden              return;              case 2:              this.cb_Platform = ((System.Windows.Controls.ComboBox)(target));                            #line 24 "..\..\..\MainWindow.xaml"              this.cb_Platform.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.cb_Platform_SelectionChanged);                            #line default              #line hidden              return;              case 3:              this.lst_Versions = ((System.Windows.Controls.ListBox)(target));                            #line 26 "..\..\..\MainWindow.xaml"              this.lst_Versions.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.lst_Versions_SelectionChanged);                            #line default              #line hidden              return;              case 4:              this.txb_Repository = ((System.Windows.Controls.TextBox)(target));              return;              case 5:              this.lst_FileList = ((System.Windows.Controls.ListBox)(target));              return;              case 6:              this.btn_Delete = ((System.Windows.Controls.Button)(target));                            #line 33 "..\..\..\MainWindow.xaml"              this.btn_Delete.Click += new System.Windows.RoutedEventHandler(this.btn_Delete_Click);                            #line default              #line hidden              return;              case 7:              this.txb_WhatsNew = ((System.Windows.Controls.TextBox)(target));              return;              case 8:              this.txb_SourceDir = ((System.Windows.Controls.TextBox)(target));              return;              case 9:              this.btn_LoadRepository = ((System.Windows.Controls.Button)(target));                            #line 39 "..\..\..\MainWindow.xaml"              this.btn_LoadRepository.Click += new System.Windows.RoutedEventHandler(this.btn_LoadRepository_Click);                            #line default              #line hidden              return;              case 10:              this.btn_UpdateNews = ((System.Windows.Controls.Button)(target));                            #line 40 "..\..\..\MainWindow.xaml"              this.btn_UpdateNews.Click += new System.Windows.RoutedEventHandler(this.btn_UpdateNews_Click);                            #line default              #line hidden              return;              case 11:              this.btn_AddBeta = ((System.Windows.Controls.Button)(target));                            #line 41 "..\..\..\MainWindow.xaml"              this.btn_AddBeta.Click += new System.Windows.RoutedEventHandler(this.btn_AddBeta_Click);                            #line default              #line hidden              return;              }
