Implementation smell,Namespace,Class,File,Method,Description
Complex Conditional,MupApps.MvvmCross.Plugins.ControlsNavigation,MvxControlExtensions,C:\repos\ChristianRuiz_MvvmCross-ControlsNavigation\MupApps.MvvmCross.Plugins.ControlsNavigation\MupApps.MvvmCross.Plugins.ControlsNavigation\MvxControlExtensions.cs,CheckEmptyControlBehaviour,The conditional expression  "(lastBehaviour.HasValue && lastBehaviour == EmptyControlBehaviours.Hide)                  || (control.EmptyControlBehaviour == EmptyControlBehaviours.Hide && control.ViewModel != null)"  is complex.
Complex Conditional,MupApps.MvvmCross.Plugins.ControlsNavigation,MvxControlExtensions,C:\repos\ChristianRuiz_MvvmCross-ControlsNavigation\MupApps.MvvmCross.Plugins.ControlsNavigation\MupApps.MvvmCross.Plugins.ControlsNavigation\MvxControlExtensions.cs,CheckEmptyControlBehaviour,The conditional expression  "(lastBehaviour.HasValue && lastBehaviour == EmptyControlBehaviours.Disable)                  || (control.EmptyControlBehaviour == EmptyControlBehaviours.Disable && control.ViewModel != null)"  is complex.
