Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Nancy.Bootstrappers.Ninject,FactoryModule,C:\repos\NancyFx_Nancy.Bootstrappers.Ninject\src\Nancy.Bootstrappers.Ninject\FactoryModule.cs,VerifyFactoryFunction,The length of the statement  "            return request.ParentContext.Kernel.CanResolve(new Request(genericArguments[0]' null' new IParameter[0]' null' false' true)) || " is 127.
Long Statement,Nancy.Bootstrappers.Ninject,NinjectNancyBootstrapper,C:\repos\NancyFx_Nancy.Bootstrappers.Ninject\src\Nancy.Bootstrappers.Ninject\NinjectNancyBootstrapper.cs,RegisterRequestContainerModules,The length of the statement  "                container.Bind(typeof(INancyModule)).To(moduleRegistrationType.ModuleType).Named(moduleRegistrationType.ModuleType.FullName); " is 125.
Long Statement,Nancy.Bootstrappers.Ninject,NinjectNancyBootstrapper,C:\repos\NancyFx_Nancy.Bootstrappers.Ninject\src\Nancy.Bootstrappers.Ninject\NinjectNancyBootstrapper.cs,CreateRequestContainer,The length of the statement  "            return new ChildKernel(this.ApplicationContainer' new NinjectSettings { DefaultScopeCallback = StandardScopeCallbacks.Singleton }); " is 131.
