Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Inbox2.Plugins.ColumnSearch.Controls,SearchDockControl,C:\repos\waseems_inbox2_desktop\Code\Client\Inbox2\Plugins\ColumnSearch\Controls\SearchDockControl.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/Inbox2.Plugins.ColumnSearch;component/controls/searchdockcontrol.xaml"' System.UriKind.Relative); " is 143.
Magic Number,Inbox2.Plugins.ColumnSearch.Controls,SearchDockControl,C:\repos\waseems_inbox2_desktop\Code\Client\Inbox2\Plugins\ColumnSearch\Controls\SearchDockControl.xaml.cs,SearchDockControl,The following statement contains a magic number: searchFlipper = new Flipper(TimeSpan.FromMilliseconds(500)' ExecuteSearch);
Magic Number,Inbox2.Plugins.ColumnSearch.Controls,SearchDockControl,C:\repos\waseems_inbox2_desktop\Code\Client\Inbox2\Plugins\ColumnSearch\Controls\SearchDockControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.SearchTextBox = ((System.Windows.Controls.TextBox)(target));                            #line 17 "..\..\..\Controls\SearchDockControl.xaml"              this.SearchTextBox.KeyDown += new System.Windows.Input.KeyEventHandler(this.SearchTextBox_OnKeyDown);                            #line default              #line hidden              return;              case 2:              this.BeginSearchButton = ((System.Windows.Controls.Button)(target));              return;              case 3:              this.EndSearchButton = ((System.Windows.Controls.Button)(target));                            #line 20 "..\..\..\Controls\SearchDockControl.xaml"              this.EndSearchButton.Click += new System.Windows.RoutedEventHandler(this.EndSearchButton_Click);                            #line default              #line hidden              return;              }
Magic Number,Inbox2.Plugins.ColumnSearch.Controls,SearchDockControl,C:\repos\waseems_inbox2_desktop\Code\Client\Inbox2\Plugins\ColumnSearch\Controls\SearchDockControl.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.SearchTextBox = ((System.Windows.Controls.TextBox)(target));                            #line 17 "..\..\..\Controls\SearchDockControl.xaml"              this.SearchTextBox.KeyDown += new System.Windows.Input.KeyEventHandler(this.SearchTextBox_OnKeyDown);                            #line default              #line hidden              return;              case 2:              this.BeginSearchButton = ((System.Windows.Controls.Button)(target));              return;              case 3:              this.EndSearchButton = ((System.Windows.Controls.Button)(target));                            #line 20 "..\..\..\Controls\SearchDockControl.xaml"              this.EndSearchButton.Click += new System.Windows.RoutedEventHandler(this.EndSearchButton_Click);                            #line default              #line hidden              return;              }
Missing Default,Inbox2.Plugins.ColumnSearch.Controls,SearchDockControl,C:\repos\waseems_inbox2_desktop\Code\Client\Inbox2\Plugins\ColumnSearch\Controls\SearchDockControl.xaml.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:              this.SearchTextBox = ((System.Windows.Controls.TextBox)(target));                            #line 17 "..\..\..\Controls\SearchDockControl.xaml"              this.SearchTextBox.KeyDown += new System.Windows.Input.KeyEventHandler(this.SearchTextBox_OnKeyDown);                            #line default              #line hidden              return;              case 2:              this.BeginSearchButton = ((System.Windows.Controls.Button)(target));              return;              case 3:              this.EndSearchButton = ((System.Windows.Controls.Button)(target));                            #line 20 "..\..\..\Controls\SearchDockControl.xaml"              this.EndSearchButton.Click += new System.Windows.RoutedEventHandler(this.EndSearchButton_Click);                            #line default              #line hidden              return;              }
