Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Inbox2.Framework.Threading,BackgroundTask,C:\repos\waseems_inbox2_desktop\Code\Client\Inbox2\Framework\Threading\BackgroundTask.cs,Execute,The length of the statement  "				Logger.Debug("An error has occured while executing task. Task = {0}' Exception = {1}"' LogSource.BackgroundTask' GetType()' ex); " is 128.
Long Statement,Inbox2.Framework.Threading,DispatcherActivator<T>,C:\repos\waseems_inbox2_desktop\Code\Client\Inbox2\Framework\Threading\DispatcherActivator.cs,DuckCopy,The length of the statement  "				Application.Current.Dispatcher.Invoke((Action)delegate { instance = source.DuckCopy<T>(); }' DispatcherPriority.Normal); " is 120.
Magic Number,Inbox2.Framework.Threading.Progress,ProgressGroup,C:\repos\waseems_inbox2_desktop\Code\Client\Inbox2\Framework\Threading\Progress\ProgressGroup.cs,SetProgress,The following statement contains a magic number: if (progress >= 100)  				IsCompleted = true;
