Project,Namespace,Ca types,Ce types
SimpleJson-Net20,SimpleJsonTests,,SimpleJson.SimpleJson
SimpleJson-Net20,SimpleJson,Reflection.SimpleJson' SimpleJsonTests.EscapeToJavascriptStringTests' Reflection.JsonArray' Reflection.JsonObject,
SimpleJson-Net20,Reflection,,SimpleJson.SimpleJson' SimpleJson.IJsonSerializerStrategy' SimpleJson.PocoJsonSerializerStrategy' SimpleJson.JsonArray
