Implementation smell,Namespace,Class,File,Method,Description
Complex Method,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,KeyToDir,Cyclomatic complexity of the method is 9
Long Parameter List,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,Calc,The method has 5 parameters. Parameters: viewerLocation' visionRange' visibilityMap' mapSize' blockerDelegate
Long Statement,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,Connect,The length of the statement  "            this.losComboBox.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.ComboBox_SelectionChanged); " is 126.
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap = new Grid2D<bool>(m_mapSize * 2 + 1' m_mapSize * 2 + 1);
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap = new Grid2D<bool>(m_mapSize * 2 + 1' m_mapSize * 2 + 1);
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_visionMap = new Grid2D<bool>(m_visionRange * 2 + 1' m_visionRange * 2 + 1);
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_visionMap = new Grid2D<bool>(m_visionRange * 2 + 1' m_visionRange * 2 + 1);
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[-1' -4] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[1' -4] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[2' 8] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[2' 8] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[2' 9] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[2' 9] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[3' 0] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[3' 1] = true;
Magic Number,FOVTest,MainWindow,D:\research\architectureSmells\repos1\tomba_dwarrowdelf\Tests\FOVTest\MainWindow.xaml.cs,MainWindow,The following statement contains a magic number: m_blockerMap[3' 4] = true;
