Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Wrapper,5,11,3,0,6,515,366,0,1,1,12,1
ContextWrapper,3,6,1,0,5,51,9,0,1,1,2,1
ExpressionWrapper,2,2,1,0,1,19,2,0,1,1,1,1
