Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Benchmarker,Program,C:\repos\FlorianGrimm_whid\other\jurassic\Benchmarker\Program.cs,Main,The length of the statement  "		Console.WriteLine ("{0} - {1:n1}ms \u00B1 {2:n1}ms"' Path.GetFileNameWithoutExtension (files [i])' results [i].Mean' results [i].StandardDeviation); " is 148.
Magic Number,Benchmarker,Program,C:\repos\FlorianGrimm_whid\other\jurassic\Benchmarker\Program.cs,Main,The following statement contains a magic number: for (int j = 0; j < 5; j++) {  	Console.WriteLine ("Beginning phase #{0}..."' j + 1);  	for (int i = 0; i < files.Length; i++) {  		// Get the script path.  		var path = files [i];  		// Indicate we are running the test.  		Console.Write ("Running {0}... "' Path.GetFileNameWithoutExtension (path));  		// Initialize the script engine.  		var engine = new ScriptEngine ();  		// Load the javascript source into a string (so no I/O during benchmarking).  		var script = File.ReadAllText (path);  		// Start timing.  		var timer = System.Diagnostics.Stopwatch.StartNew ();  		// Execute the script.  		engine.Execute (new StringScriptSource (script' path));  		// Stop timing.  		double elapsed = timer.Elapsed.TotalMilliseconds;  		// Add the result to the prior result (but throw away the first result).  		if (results [i] == null)  			results [i] = new Series ();  		else  			results [i].AddSample (elapsed);  		// Output the result to the screen.  		Console.WriteLine ("{0:n1}ms"' elapsed);  	}  	Console.WriteLine ();  }  
