Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
IDispatcher,0,2,1,0,0,22,2,2,0,-1,0,1
DispatcherWrapper,1,3,1,0,3,21,3,0,1,0,0,0
SynchronousDispatcher,0,2,1,0,2,16,2,0,1,-1,0,0
INotifyCollectionChanging,0,0,0,0,0,10,0,1,0,-1,0,0
Conductor,0,4,0,0,4,503,9,1,1,-1,1,0
IBootstrapper,0,1,0,0,0,12,1,1,0,-1,0,1
IModelValidator,0,3,0,0,0,44,3,1,0,-1,0,3
LabelledValue,2,7,2,0,7,108,7,0,1,1,0,1
INotifyPropertyChangedDispatcher,0,0,1,0,0,14,0,1,0,-1,0,0
IMessageBoxViewModel,0,1,1,0,0,25,1,1,0,-1,0,3
MessageBoxViewModel,0,4,16,0,2,284,13,0,1,-1,3,0
StyletConductorExtensions,0,3,0,0,3,54,9,0,0,-1,3,0
ValidatingModelBase,3,16,3,0,3,296,39,1,1,0.25,1,0
IObservableCollection,0,2,0,0,0,17,2,1,0,-1,0,2
IReadOnlyObservableCollection,0,0,0,0,0,7,0,1,1,-1,0,0
BindableCollection,1,12,0,0,5,167,18,0,2,0.67,1,1
BootstrapperBase,0,14,2,0,5,136,16,7,1,-1,4,0
ConductorBase,1,8,1,0,4,90,11,1,1,1,2,0
ConductorBaseWithActiveItem,1,5,1,0,1,70,8,1,2,1,1,0
IHandle,0,1,0,0,0,17,1,1,0,-1,0,2
IEventAggregator,0,3,0,0,0,25,3,1,0,-1,1,7
EventAggregator,3,3,0,1,3,144,3,0,1,0,1,1
EventAggregatorExtensions,0,2,0,0,2,26,2,0,0,-1,2,0
Execute,2,7,3,0,5,129,11,0,0,0.71,1,4
ExpressionExtensions,0,1,0,0,1,25,3,0,0,-1,0,0
IParent,0,1,0,0,0,12,1,1,0,-1,0,0
IHaveActiveItem,0,0,1,0,0,15,0,1,0,-1,0,0
IChildDelegate,0,1,0,0,0,12,1,1,0,-1,0,1
IConductor,0,3,1,0,0,31,3,1,0,-1,0,1
Bootstrapper,1,6,2,0,2,94,7,1,2,1,5,0
IViewAware,0,1,1,0,0,18,1,1,0,-1,0,1
ScreenState,0,0,0,0,0,23,0,0,0,-1,0,6
IScreenState,0,3,2,0,0,46,3,1,0,-1,1,1
IHaveDisplayName,0,0,1,0,0,13,0,1,0,-1,0,1
IChild,0,0,1,0,0,13,0,1,0,-1,0,2
IGuardClose,0,1,0,0,0,12,1,1,0,-1,0,1
IRequestClose,0,1,0,0,0,11,1,1,0,-1,0,0
IScreen,0,0,0,0,0,6,0,1,1,-1,0,1
ScreenStateChangedEventArgs,0,1,2,0,1,30,1,0,0,-1,1,0
ActivationEventArgs,0,1,2,0,1,30,1,0,0,-1,1,1
DeactivationEventArgs,0,1,1,0,1,21,1,0,0,-1,1,1
CloseEventArgs,0,1,1,0,1,21,1,0,0,-1,1,1
PropertyChangedBase,1,5,1,0,1,81,7,2,1,0,0,0
PropertyChangedExtendedEventArgs,0,1,1,0,1,23,1,0,0,-1,0,1
IEventBinding,0,1,0,0,0,10,1,0,0,-1,0,0
PropertyChangedExtensions,0,2,0,0,2,113,3,0,0,-1,1,0
Screen,5,17,6,0,5,288,24,16,2,0.18,6,0
ScreenExtensions,0,8,0,0,8,115,12,0,0,-1,4,9
IViewManager,0,4,0,0,0,31,4,1,0,-1,0,2
ViewManagerConfig,0,0,2,0,0,20,0,0,0,-1,0,9
ViewManager,6,10,5,0,6,250,23,1,1,0.2,6,2
StyletViewLocationException,1,1,0,1,1,20,1,0,0,0,0,1
StyletInvalidViewTypeException,0,1,0,0,1,14,1,0,0,-1,0,2
IWindowManager,0,3,0,0,0,31,3,1,0,-1,0,5
IWindowManagerConfig,0,1,0,0,0,11,1,1,0,-1,0,1
WindowManager,4,6,0,0,4,212,12,0,1,0,6,1
ILogger,0,3,0,0,0,24,3,2,0,-1,0,8
NullLogger,0,3,0,0,3,30,3,0,1,-1,0,1
TraceLogger,1,4,0,0,4,45,5,0,1,0,0,0
LogManager,1,3,2,0,2,50,3,0,0,0.67,2,2
BuilderTypeKey,0,5,2,0,5,70,5,0,0,-1,0,8
ICreator,0,1,1,0,0,18,1,2,0,-1,0,4
IRegistration,0,2,1,0,0,24,2,4,0,-1,0,6
IRegistrationContext,0,4,0,0,0,51,4,1,1,-1,0,16
BuilderUpper,4,5,0,0,3,69,5,0,0,0,2,1
IBindTo,0,0,0,0,0,7,0,1,1,-1,0,0
IToMultipleServices,0,4,0,0,0,31,4,3,0,-1,1,0
IToAnyService,0,4,0,0,0,30,4,1,1,-1,0,0
IAndTo,0,2,0,0,0,18,2,2,0,-1,0,0
IWithKeyOrToMulipleServices,0,1,0,0,0,12,1,2,1,-1,0,0
IAndOrToMultipleServices,0,0,0,0,0,6,0,1,1,-1,0,0
IWithKeyOrAndOrToMultipleServices,0,0,0,0,0,6,0,1,2,-1,0,0
IAsWeakBinding,0,1,0,0,0,25,1,2,0,-1,0,0
IWithKeyOrAsWeakBinding,0,1,0,0,0,12,1,2,1,-1,0,0
IWithKeyOrAsWeakBindingOrDisposeWithContainer,0,1,0,0,0,12,1,1,2,-1,0,0
IInScopeOrAsWeakBinding,0,2,0,0,0,17,2,1,1,-1,0,0
IInScopeOrWithKeyOrAsWeakBinding,0,1,0,0,0,12,1,1,2,-1,0,0
StyletIoCContainer,1,1,1,1,0,23,1,0,0,0,0,3
StyletIoCModule,2,4,0,0,0,42,5,0,0,0.5,2,2
IContainer,0,8,0,0,0,58,8,2,0,-1,0,1
IInjectionAware,0,1,0,0,0,10,1,0,0,-1,0,0
InjectAttribute,0,2,1,0,2,28,2,0,0,-1,0,3
StyletIoCException,0,2,0,0,0,13,2,3,0,-1,0,0
StyletIoCRegistrationException,0,2,0,0,0,12,2,0,1,-1,0,1
StyletIoCFindConstructorException,0,1,0,0,0,9,1,0,1,-1,0,0
StyletIoCCreateFactoryException,0,2,0,0,0,12,2,0,1,-1,0,0
IStyletIoCBuilder,0,7,1,0,0,50,7,1,0,-1,1,5
StyletIoCBuilder,2,11,1,0,9,125,15,0,1,0.36,3,2
BuilderAbstractFactoryBinding,0,2,1,0,2,22,3,0,1,-1,4,0
BuilderBindingBase,0,12,3,0,4,111,26,5,3,-1,7,2
BuilderBindTo,2,13,2,0,12,81,13,0,2,0.54,5,2
BuilderFactoryBinding,1,2,0,0,2,21,5,0,4,0,4,0
BuilderToAllImplementationsBinding,2,2,1,0,2,38,5,0,4,0,3,0
BuilderTypeBinding,1,2,0,0,2,13,2,0,4,0,2,0
BuilderInstanceBinding,2,3,0,0,3,22,4,0,4,0,3,1
InstanceRegistration,2,3,1,0,3,31,4,0,1,0,1,1
FuncRegistration,3,3,1,0,3,30,3,0,1,0,2,0
GetAllRegistration,5,3,2,0,3,58,4,0,1,0,2,0
RegistrationBase,3,5,1,0,2,39,5,2,1,0.4,2,0
SingletonRegistration,3,2,0,0,2,30,2,0,2,0,2,1
TransientRegistration,0,2,0,0,2,13,2,0,2,-1,1,1
IRegistrationCollection,0,1,0,0,0,4,1,2,1,-1,1,1
IReadOnlyRegistrationCollection,0,2,0,0,0,5,2,2,0,-1,0,1
TypeKey,2,4,0,2,4,27,4,0,0,0.5,0,1
TypeExtensions,1,4,0,0,4,118,6,0,0,0.5,0,0
Container,7,28,0,0,11,437,56,0,2,0.32,10,8
UnboundGeneric,2,2,2,0,2,27,2,0,0,0,3,2
AbstractFactoryCreator,1,2,1,0,2,25,2,0,1,0,1,1
CreatorBase,0,3,2,0,1,45,4,2,1,-1,1,0
FactoryCreator,1,2,1,0,2,25,2,0,2,0,1,1
TypeCreator,2,3,1,0,2,84,9,0,2,0.67,4,2
EmptyRegistrationCollection,1,3,0,0,3,16,3,0,1,0.67,1,0
RegistrationCollection,2,4,0,0,4,31,4,0,2,0.5,1,1
SingleRegistration,1,4,0,0,4,27,5,0,2,0,2,1
ActionBase,4,6,4,0,1,178,13,2,0,0,6,0
ApplicationLoader,3,1,2,0,1,46,1,0,0,0,1,0
ActionUnavailableBehaviour,0,0,0,0,0,22,0,0,0,-1,0,4
ActionExtension,0,3,7,0,3,100,8,0,0,-1,3,0
ActionNotSetException,0,1,0,0,0,10,1,0,0,-1,0,1
ActionTargetNullException,0,1,0,0,0,10,1,0,0,-1,0,1
