Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Senai.SPE.Domain,SPEContext,C:\repos\wilckerson_SENAI-SPE\R1\Projeto\Senai.SPE.Domain\SPEContext.Context.cs,ufnListarMatrizes,The method has 6 parameters.
Long Parameter List,Senai.SPE.Domain,SPEContext,C:\repos\wilckerson_SENAI-SPE\R1\Projeto\Senai.SPE.Domain\SPEContext.Context.cs,ufnListarTurmas,The method has 6 parameters.
Long Parameter List,Senai.SPE.Domain,SPEContext,C:\repos\wilckerson_SENAI-SPE\R1\Projeto\Senai.SPE.Domain\SPEContext.Context.cs,ufnListarMatrizes1,The method has 6 parameters.
Long Parameter List,Senai.SPE.Domain,SPEContext,C:\repos\wilckerson_SENAI-SPE\R1\Projeto\Senai.SPE.Domain\SPEContext.Context.cs,ufnListarTurmas1,The method has 6 parameters.
Long Statement,Senai.SPE.Domain,SPEContext,C:\repos\wilckerson_SENAI-SPE\R1\Projeto\Senai.SPE.Domain\SPEContext.Context.cs,Split,The length of the statement  "	var delimiterParameter = delimiter != null ? new ObjectParameter ("Delimiter"' delimiter) : new ObjectParameter ("Delimiter"' typeof(string)); " is 142.
Long Statement,Senai.SPE.Domain,SPEContext,C:\repos\wilckerson_SENAI-SPE\R1\Projeto\Senai.SPE.Domain\SPEContext.Context.cs,Split,The length of the statement  "	return ((IObjectContextAdapter)this).ObjectContext.CreateQuery<Split_Result> ("[SPEContext].[Split](@Delimiter' @List)"' delimiterParameter' listParameter); " is 156.
Long Statement,Senai.SPE.Domain,SPEContext,C:\repos\wilckerson_SENAI-SPE\R1\Projeto\Senai.SPE.Domain\SPEContext.Context.cs,ufnListarCR,The length of the statement  "	var pageIndexParameter = pageIndex.HasValue ? new ObjectParameter ("PageIndex"' pageIndex) : new ObjectParameter ("PageIndex"' typeof(int)); " is 140.
Long Statement,Senai.SPE.Domain,SPEContext,C:\repos\wilckerson_SENAI-SPE\R1\Projeto\Senai.SPE.Domain\SPEContext.Context.cs,ufnListarCR,The length of the statement  "	var rowNumbersParameter = rowNumbers.HasValue ? new ObjectParameter ("RowNumbers"' rowNumbers) : new ObjectParameter ("RowNumbers"' typeof(int)); " is 145.
Long Statement,Senai.SPE.Domain,SPEContext,C:\repos\wilckerson_SENAI-SPE\R1\Projeto\Senai.SPE.Domain\SPEContext.Context.cs,ufnListarCR,The length of the statement  "	return ((IObjectContextAdapter)this).ObjectContext.CreateQuery<ufnListarCR_Result> ("[SPEContext].[ufnListarCR](@PageIndex' @RowNumbers)"' pageIndexParameter' rowNumbersParameter); " is 180.
Long Statement,Senai.SPE.Domain,SPEContext,C:\repos\wilckerson_SENAI-SPE\R1\Projeto\Senai.SPE.Domain\SPEContext.Context.cs,ufnListarMatrizes,The length of the statement  "	var idCodigoParameter = idCodigo.HasValue ? new ObjectParameter ("IdCodigo"' idCodigo) : new ObjectParameter ("IdCodigo"' typeof(int)); " is 135.
Long Statement,Senai.SPE.Domain,SPEContext,C:\repos\wilckerson_SENAI-SPE\R1\Projeto\Senai.SPE.Domain\SPEContext.Context.cs,ufnListarMatrizes,The length of the statement  "	var idModalidadeParameter = idModalidade.HasValue ? new ObjectParameter ("IdModalidade"' idModalidade) : new ObjectParameter ("IdModalidade"' typeof(int)); " is 155.
Long Statement,Senai.SPE.Domain,SPEContext,C:\repos\wilckerson_SENAI-SPE\R1\Projeto\Senai.SPE.Domain\SPEContext.Context.cs,ufnListarMatrizes,The length of the statement  "	var idAreaAtuacaoParameter = idAreaAtuacao.HasValue ? new ObjectParameter ("IdAreaAtuacao"' idAreaAtuacao) : new ObjectParameter ("IdAreaAtuacao"' typeof(int)); " is 160.
Long Statement,Senai.SPE.Domain,SPEContext,C:\repos\wilckerson_SENAI-SPE\R1\Projeto\Senai.SPE.Domain\SPEContext.Context.cs,ufnListarMatrizes,The length of the statement  "	var pageIndexParameter = pageIndex.HasValue ? new ObjectParameter ("PageIndex"' pageIndex) : new ObjectParameter ("PageIndex"' typeof(int)); " is 140.
Long Statement,Senai.SPE.Domain,SPEContext,C:\repos\wilckerson_SENAI-SPE\R1\Projeto\Senai.SPE.Domain\SPEContext.Context.cs,ufnListarMatrizes,The length of the statement  "	var pageNumberParameter = pageNumber.HasValue ? new ObjectParameter ("PageNumber"' pageNumber) : new ObjectParameter ("PageNumber"' typeof(int)); " is 145.
Long Statement,Senai.SPE.Domain,SPEContext,C:\repos\wilckerson_SENAI-SPE\R1\Projeto\Senai.SPE.Domain\SPEContext.Context.cs,ufnListarMatrizes,The length of the statement  "	return ((IObjectContextAdapter)this).ObjectContext.CreateQuery<ufnListarMatrizes_Result> ("[SPEContext].[ufnListarMatrizes](@IdCodigo' @Nome' @IdModalidade' @IdAreaAtuacao' @PageIndex' @PageNumber)"' idCodigoParameter' nomeParameter' idModalidadeParameter' idAreaAtuacaoParameter' pageIndexParameter' pageNumberParameter); " is 322.
Long Statement,Senai.SPE.Domain,SPEContext,C:\repos\wilckerson_SENAI-SPE\R1\Projeto\Senai.SPE.Domain\SPEContext.Context.cs,ufnListarComponentesPorModulo,The length of the statement  "	var idModudoParameter = idModudo != null ? new ObjectParameter ("IdModudo"' idModudo) : new ObjectParameter ("IdModudo"' typeof(string)); " is 137.
Long Statement,Senai.SPE.Domain,SPEContext,C:\repos\wilckerson_SENAI-SPE\R1\Projeto\Senai.SPE.Domain\SPEContext.Context.cs,ufnListarComponentesPorModulo,The length of the statement  "	var filtroParameter = filtro != null ? new ObjectParameter ("Filtro"' filtro) : new ObjectParameter ("Filtro"' typeof(string)); " is 127.
Long Statement,Senai.SPE.Domain,SPEContext,C:\repos\wilckerson_SENAI-SPE\R1\Projeto\Senai.SPE.Domain\SPEContext.Context.cs,ufnListarComponentesPorModulo,The length of the statement  "	var pageIndexParameter = pageIndex.HasValue ? new ObjectParameter ("PageIndex"' pageIndex) : new ObjectParameter ("PageIndex"' typeof(int)); " is 140.
Long Statement,Senai.SPE.Domain,SPEContext,C:\repos\wilckerson_SENAI-SPE\R1\Projeto\Senai.SPE.Domain\SPEContext.Context.cs,ufnListarComponentesPorModulo,The length of the statement  "	var pageNumberParameter = pageNumber.HasValue ? new ObjectParameter ("PageNumber"' pageNumber) : new ObjectParameter ("PageNumber"' typeof(int)); " is 145.
Long Statement,Senai.SPE.Domain,SPEContext,C:\repos\wilckerson_SENAI-SPE\R1\Projeto\Senai.SPE.Domain\SPEContext.Context.cs,ufnListarComponentesPorModulo,The length of the statement  "	return ((IObjectContextAdapter)this).ObjectContext.CreateQuery<ufnListarComponentesPorModulo_Result> ("[SPEContext].[ufnListarComponentesPorModulo](@IdModudo' @Filtro' @PageIndex' @PageNumber)"' idModudoParameter' filtroParameter' pageIndexParameter' pageNumberParameter); " is 272.
