Implementation smell,Namespace,Class,File,Method,Description
Long Statement,SimpleOAuth,Extensions,D:\research\architectureSmells\repos\djmc_SimpleOAuth.Net\SimpleOAuth\Extensions.cs,GetOAuthTokensAsync,The length of the statement  "                                    var ex = new Exception("Response did not contain oauth_token and oauth_token_secret. Response is contained in Data of exception."); " is 131.
Long Statement,SimpleOAuth,OAuthRequestWrapper,D:\research\architectureSmells\repos\djmc_SimpleOAuth.Net\SimpleOAuth\OAuthRequestWrapper.cs,createSignature,The length of the statement  "            var baseUrl = String.Format("{0}://{1}{2}"' ContainedRequest.RequestUri.Scheme' ContainedRequest.RequestUri.Host' ContainedRequest.RequestUri.AbsolutePath); " is 156.
Long Statement,SimpleOAuth,OAuthRequestWrapper,D:\research\architectureSmells\repos\djmc_SimpleOAuth.Net\SimpleOAuth\OAuthRequestWrapper.cs,createSignature,The length of the statement  "            if (method.Equals("POST") && !String.IsNullOrEmpty(ContainedRequest.ContentType) && ContainedRequest.ContentType.Equals(FormUrlEncodedMimeType)) " is 144.
Long Statement,SimpleOAuth.Internal,AttributeExtensions,D:\research\architectureSmells\repos\djmc_SimpleOAuth.Net\SimpleOAuth\Internal\AttributeExtensions.cs,GetDescription,The length of the statement  "            DescriptionAttribute attribute = Attribute.GetCustomAttribute(field' typeof(DescriptionAttribute)) as DescriptionAttribute; " is 123.
Long Statement,SimpleOAuth.Internal,AttributeExtensions,D:\research\architectureSmells\repos\djmc_SimpleOAuth.Net\SimpleOAuth\Internal\AttributeExtensions.cs,GetSignatureType,The length of the statement  "            SignatureTypeAttribute attribute = Attribute.GetCustomAttribute(field' typeof(SignatureTypeAttribute)) as SignatureTypeAttribute; " is 129.
Empty Catch Block,SimpleOAuth,Extensions,D:\research\architectureSmells\repos\djmc_SimpleOAuth.Net\SimpleOAuth\Extensions.cs,GetOAuthTokensAsync,The method has an empty catch block.
Empty Catch Block,SimpleOAuth,Extensions,D:\research\architectureSmells\repos\djmc_SimpleOAuth.Net\SimpleOAuth\Extensions.cs,GetOAuthTokensAsync,The method has an empty catch block.
Magic Number,SimpleOAuth,OAuthRequestWrapper,D:\research\architectureSmells\repos\djmc_SimpleOAuth.Net\SimpleOAuth\OAuthRequestWrapper.cs,InHeader,The following statement contains a magic number: builder.Length > 6
Magic Number,SimpleOAuth.Generators,TimestampGenerator,D:\research\architectureSmells\repos\djmc_SimpleOAuth.Net\SimpleOAuth\Generators\TimestampGenerator.cs,Generate,The following statement contains a magic number: var unixEpoch = new DateTime(1970' 1' 1' 0' 0' 0);
Magic Number,SimpleOAuth.Generators,TimestampGenerator,D:\research\architectureSmells\repos\djmc_SimpleOAuth.Net\SimpleOAuth\Generators\TimestampGenerator.cs,Generate,The following statement contains a magic number: long stamp = ((now.Ticks - unixEpoch.Ticks) / 10000000);
